cluster_id,source_task,seed,generation,individual_idx,direction_deg,peak_g_e_us,peak_g_e_time_ms,peak_g_i_us,peak_g_i_time_ms,gi_ge_ratio_at_peak_ge,g_i_onset_latency_ms,n_spikes,mean_v_m_mv,max_v_m_mv
0,t0112_t0106_seed77_replicate,77,5,431,180,0.12123078151855761,34.0,0.52079843457302,56.0,3.8717580588650455,17.0,6,-75.01183611051992,5.617933771283914
0,t0114_seed7755_no_autostop,7755,5,440,0,0.18649073987661155,64.0,0.057389093333405826,75.0,0.18186199089441146,59.0,0,-73.9961803173127,-11.8235831810075
0,t0114_seed7755_no_autostop,7755,5,440,180,0.17044813192424632,23.0,0.24113466401217917,24.0,1.3496745396555998,4.0,1,-74.08930491046739,-9.568199834549496
0,t0106_long_pdnd_nsga2_300gen,44,10,936,0,0.2873413777925485,67.0,0.016467136380531343,90.0,0.0277963272842506,31.0,6,-74.19683305120203,-3.2465495911524336
0,t0106_long_pdnd_nsga2_300gen,44,10,936,180,0.27345947326245895,13.0,0.1653699553658936,42.0,0.28031868182560277,15.0,5,-74.22084766917301,-3.2194739210315255
0,t0112_t0106_seed77_replicate,77,16,1483,0,0.039880020148759174,502.0,0.06152832172934069,480.0,0.4446509215145735,303.0,24,-74.680616187771,20.331757150331356
0,t0112_t0106_seed77_replicate,77,16,1483,180,0.0180932602438019,5.0,0.04774198135642442,30.0,1.2049034658419873,9.0,26,-74.61845029428464,18.660025690055832
0,t0112_t0106_seed77_replicate,77,15,1356,0,0.0312594050534675,91.0,0.1989765540424271,69.0,3.870738373621145,57.0,0,-54.51254501182505,-50.971051448042985
0,t0112_t0106_seed77_replicate,77,15,1356,180,0.024775154324384548,8.0,1.317318653560655,28.0,26.424349202657083,9.0,1,-54.80163427266982,6.455534959341392
1,t0106_long_pdnd_nsga2_300gen,44,2,103,0,0.18882585547940284,75.0,0.018103328967048977,33.0,0.06222062252344921,8.0,6,-73.43961750759048,-4.951459636774416
1,t0106_long_pdnd_nsga2_300gen,44,2,103,180,0.20794670070525528,37.0,0.1879782548797805,34.0,0.8588242236310389,11.0,6,-73.47602571060416,-5.192036382908132
1,t0106_long_pdnd_nsga2_300gen,44,11,1037,0,0.16692304185943413,67.0,0.1174553220985329,66.0,0.6773518588250663,57.0,4,-64.99492633435285,-8.788145645063771
1,t0106_long_pdnd_nsga2_300gen,44,11,1037,180,0.15137976551368476,17.0,0.5269866161558145,28.0,2.946016636661434,9.0,8,-64.73062729350097,-8.731142305544157
1,t0106_long_pdnd_nsga2_300gen,44,24,2268,0,0.05731415997896901,95.0,0.07687388025901375,80.0,0.9306907331653664,46.0,0,-50.62911204658882,-20.333504248648968
1,t0106_long_pdnd_nsga2_300gen,44,24,2268,180,0.049126935813504836,14.0,0.4600271853696589,33.0,6.341665957607262,9.0,0,-50.5146433407589,-16.79360407532967
1,t0106_long_pdnd_nsga2_300gen,44,27,2577,0,0.08519331391454948,181.0,0.05128807498115583,244.0,0.29351412044156966,68.0,0,-51.294754298085586,-12.919621706231734
1,t0106_long_pdnd_nsga2_300gen,44,27,2577,180,0.041863978429845634,29.0,0.1834003789001466,34.0,3.8986823259724175,7.0,0,-51.31420622407573,-12.169877165610721
1,t0106_long_pdnd_nsga2_300gen,44,31,2902,0,0.03606816286489567,240.0,0.02482308157738912,282.0,0.031073700254648926,268.0,0,-49.94914202176016,-25.448971381136502
1,t0106_long_pdnd_nsga2_300gen,44,31,2902,180,0.03356215472462032,229.0,0.10367477211430466,107.0,1.718042735794285,71.0,0,-49.950768105109944,-26.598748674445073
1,t0106_long_pdnd_nsga2_300gen,44,8,691,0,0.18195443754414292,53.0,0.029398413264439066,62.0,0.13077867696024956,38.0,0,-68.5883393358325,-12.152142626710907
1,t0106_long_pdnd_nsga2_300gen,44,8,691,180,0.1933929666878436,17.0,0.22105099376787682,44.0,0.8760012839454236,11.0,0,-68.55124890343345,-12.080140170173003
1,t0106_long_pdnd_nsga2_300gen,44,15,1416,0,0.08101420751480368,194.0,0.059685406194235326,136.0,0.31258624886149416,53.0,1,-70.92765219347167,-9.999356764770901
1,t0106_long_pdnd_nsga2_300gen,44,15,1416,180,0.05752963580747675,24.0,0.27604551862890075,50.0,4.221357214576316,7.0,1,-70.87342081974714,-9.411146908043019
1,t0106_long_pdnd_nsga2_300gen,44,18,1673,0,0.10029723682434534,35.0,0.05217329741166789,32.0,0.498161808597495,13.0,1,-42.90268933346685,-6.182090278720155
1,t0106_long_pdnd_nsga2_300gen,44,18,1673,180,0.10536506046264642,60.0,0.4846287886730924,82.0,3.9346116825609716,39.0,0,-43.21854853090024,-10.258270570616997
1,t0106_long_pdnd_nsga2_300gen,44,25,2337,0,0.08187700882009273,146.0,0.04984597724235311,124.0,0.33859613835502034,90.0,0,-53.54765346220279,-28.249322900687353
1,t0106_long_pdnd_nsga2_300gen,44,25,2337,180,0.03149244510358266,31.0,0.18952959368822292,21.0,4.5374033760822385,10.0,0,-53.54442431587431,-50.21812861435561
1,t0106_long_pdnd_nsga2_300gen,44,34,3209,0,0.07868667266273399,91.0,0.08201176358235988,47.0,0.45167357305336353,17.0,0,-47.75947503781026,-39.182597466170485
1,t0106_long_pdnd_nsga2_300gen,44,34,3209,180,0.0889108723849543,51.0,0.5367536151003404,37.0,5.279184406160956,9.0,0,-47.78063720558479,-45.94192382336851
2,t0114_seed7755_no_autostop,7755,4,325,0,0.11266794928726925,60.0,0.1247357154466029,53.0,0.9533661843714881,25.0,11,-67.62986497242079,-3.544293067403485
2,t0114_seed7755_no_autostop,7755,4,325,180,0.14695860049059828,40.0,1.119670389306144,46.0,6.923220827704633,16.0,10,-67.60918429927173,-3.5830767898530365
2,t0114_seed7755_no_autostop,7755,14,1323,0,0.09178211307727922,95.0,0.13554218551223104,98.0,1.1288691600417735,47.0,11,-66.80338475240589,-3.2896894751218007
2,t0114_seed7755_no_autostop,7755,14,1323,180,0.08523681294547883,14.0,0.8430685069368892,28.0,6.967199592131589,9.0,9,-66.8742721993921,-3.5169419701268723
2,t0114_seed7755_no_autostop,7755,25,2339,0,0.02821633973700058,259.0,0.050951176375518166,260.0,1.4787083001385757,87.0,0,-43.61269586412426,-17.494228951990408
2,t0114_seed7755_no_autostop,7755,25,2339,180,0.0038714060019266164,40.0,0.08322871765714139,27.0,15.44062424287617,7.0,0,-43.61335878582384,-15.62965724209867
2,t0114_seed7755_no_autostop,7755,30,2823,0,0.018910296066967345,297.0,0.08101317979455183,129.0,1.7545870434640132,84.0,0,-43.33567772504857,-17.8453310276804
2,t0114_seed7755_no_autostop,7755,30,2823,180,0.015551515269514433,8.0,0.23369020088219994,26.0,7.645241868724671,8.0,0,-43.34507101716121,-17.213557436939883
