gampa_ns,gaba_base_ns,angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
3.000000,0.200000,300,10005,600,110.9720,-29.9539
3.000000,0.200000,300,10005,608,111.1091,-30.0014
3.000000,0.200000,300,10005,616,111.1318,-30.0073
3.000000,0.200000,300,10005,624,111.1887,-30.0198
3.000000,0.200000,300,10005,632,111.2973,-30.0217
3.000000,0.200000,300,10005,640,111.5905,-29.9418
3.000000,0.200000,300,10005,648,111.6405,-29.9296
3.000000,0.200000,300,10005,656,111.9319,-29.8704
3.000000,0.200000,300,10005,664,112.4931,-30.0879
3.000000,0.200000,300,10005,672,112.5383,-30.1310
3.000000,0.200000,300,10005,680,112.8079,-30.3903
3.000000,0.200000,300,10005,688,113.5090,-31.4766
3.000000,0.200000,300,10005,696,113.5494,-31.5614
3.000000,0.200000,300,10005,704,113.7442,-31.9558
3.000000,0.200000,300,10005,712,114.2753,-33.0694
3.000000,0.200000,300,10005,720,114.4081,-33.3833
3.000000,0.200000,300,10005,728,114.5661,-33.7606
3.000000,0.200000,300,10005,736,114.6106,-33.8638
3.000000,0.200000,300,10005,744,114.9093,-34.4694
3.000000,0.200000,300,10005,752,115.1774,-34.9426
3.000000,0.200000,300,10005,760,115.2212,-35.0183
3.000000,0.200000,300,10005,768,115.2764,-35.1044
3.000000,0.200000,300,10005,776,115.5434,-35.3951
3.000000,0.200000,300,10005,784,115.6871,-35.5115
3.000000,0.200000,300,10005,792,115.8269,-35.6126
3.000000,0.200000,300,10005,800,116.2843,-35.8803
3.000000,0.200000,300,10005,808,117.0856,-36.8439
3.000000,0.200000,300,10005,816,117.8240,-38.4617
3.000000,0.200000,300,10005,824,117.9119,-38.6795
3.000000,0.200000,300,10005,832,118.2594,-39.4339
3.000000,0.200000,300,10005,840,118.3460,-39.6143
3.000000,0.200000,300,10005,848,118.3946,-39.7140
3.000000,0.200000,300,10005,856,118.4378,-39.7978
3.000000,0.200000,300,10005,864,118.6401,-40.1049
3.000000,0.200000,300,10005,872,118.9221,-40.3945
3.000000,0.200000,300,10005,880,118.9689,-40.4348
3.000000,0.200000,300,10005,888,119.2404,-40.5659
3.000000,0.200000,300,10005,896,119.9772,-40.9714
3.000000,0.200000,300,10005,904,121.0416,-42.6412
3.000000,0.200000,300,10005,912,121.0934,-42.7502
3.000000,0.200000,300,10005,920,121.3573,-43.2595
3.000000,0.200000,300,10005,928,122.0420,-44.3973
3.000000,0.200000,300,10005,936,122.4911,-45.2173
3.000000,0.200000,300,10005,944,122.6313,-45.4809
3.000000,0.200000,300,10005,952,123.0264,-46.0828
3.000000,0.200000,300,10005,960,123.7440,-47.0827
3.000000,0.200000,300,10005,968,123.7939,-47.1588
3.000000,0.200000,300,10005,976,124.0159,-47.4577
3.000000,0.200000,300,10005,984,124.5981,-48.0366
3.000000,0.200000,300,10005,992,125.9315,-49.8129
3.000000,0.200000,300,10005,1000,127.9566,-53.6399
3.000000,0.200000,300,10005,1008,127.9740,-53.6734
3.000000,0.200000,300,10005,1016,128.0701,-53.8511
3.000000,0.200000,300,10005,1024,128.4523,-54.3465
3.000000,0.200000,300,10005,1032,128.7295,-54.5785
3.000000,0.200000,300,10005,1040,128.7879,-54.6211
3.000000,0.200000,300,10005,1048,129.0226,-54.7144
3.000000,0.200000,300,10005,1056,129.7130,-54.6054
3.000000,0.200000,300,10005,1064,129.7337,-54.6021
3.000000,0.200000,300,10005,1072,129.8509,-54.5767
3.000000,0.200000,300,10005,1080,130.2506,-54.3664
3.000000,0.200000,300,10005,1088,131.0166,-54.0250
3.000000,0.200000,300,10005,1096,132.5331,-54.7097
3.000000,0.200000,300,10005,1104,134.8443,-57.4451
3.000000,0.200000,300,10005,1112,139.1833,-61.8132
3.000000,0.200000,300,10005,1120,146.3372,-64.3028
3.000000,0.200000,300,10005,1128,155.7343,-64.7400
3.000000,0.200000,300,10005,1136,174.5837,-64.7738
3.000000,0.200000,300,10005,1144,235.4555,-64.7735
3.000000,0.200000,300,10006,0,0.0000,-65.0000
3.000000,0.200000,300,10006,8,0.0654,-64.9915
3.000000,0.200000,300,10006,16,0.7270,-64.9524
3.000000,0.200000,300,10006,24,6.3810,-64.8070
3.000000,0.200000,300,10006,32,24.0332,-64.7738
3.000000,0.200000,300,10006,40,84.4137,-64.7735
3.000000,0.200000,300,10006,48,100.0066,-64.7708
3.000000,0.200000,300,10006,56,100.0326,-64.6783
3.000000,0.200000,300,10006,64,100.0535,-64.5014
3.000000,0.200000,300,10006,72,100.0955,-63.9046
3.000000,0.200000,300,10006,80,100.2253,-60.5408
3.000000,0.200000,300,10006,88,100.4896,-50.7191
3.000000,0.200000,300,10006,96,100.9676,-35.1888
3.000000,0.200000,300,10006,104,101.0051,-34.2658
3.000000,0.200000,300,10006,112,101.2464,-29.2475
3.000000,0.200000,300,10006,120,101.3135,-28.1234
3.000000,0.200000,300,10006,128,101.3396,-27.7135
3.000000,0.200000,300,10006,136,101.3770,-27.1482
3.000000,0.200000,300,10006,144,101.4316,-26.3632
3.000000,0.200000,300,10006,152,101.5564,-24.7532
3.000000,0.200000,300,10006,160,101.5985,-24.2615
3.000000,0.200000,300,10006,168,101.8959,-21.4424
