b2gnmda_ns,direction,t_ms,v_mv
0.0,PD,53.75,-59.11012823612117
0.0,PD,54.0,-59.09396162304175
0.0,PD,54.25,-59.084260585493745
0.0,PD,54.5,-59.07833859004058
0.0,PD,54.75,-59.077496169049034
0.0,PD,55.0,-59.08099317796669
0.0,PD,55.25,-59.08959926503374
0.0,PD,55.5,-59.10090629530987
0.0,PD,55.75,-59.11460328846433
0.0,PD,56.0,-59.1317897480839
0.0,PD,56.25,-59.15026332662129
0.0,PD,56.5,-59.16582444289763
0.0,PD,56.75,-59.17977489805797
0.0,PD,57.0,-59.19556177167123
0.0,PD,57.25,-59.21371512015123
0.0,PD,57.5,-59.233803017046476
0.0,PD,57.75,-59.25636863526071
0.0,PD,58.0,-59.28117906611267
0.0,PD,58.25,-59.30528540865605
0.0,PD,58.5,-59.32000191725367
0.0,PD,58.75,-59.32959504795995
0.0,PD,59.0,-59.339300930847735
0.0,PD,59.25,-59.35087325862956
0.0,PD,59.5,-59.36450848696625
0.0,PD,59.75,-59.38003284044483
0.0,PD,60.0,-59.39753594848705
0.0,PD,60.25,-59.4164016521313
0.0,PD,60.5,-59.432880954476325
0.0,PD,60.75,-59.446527125210416
0.0,PD,61.0,-59.458980092874604
0.0,PD,61.25,-59.47028195260528
0.0,PD,61.5,-59.47718696826125
0.0,PD,61.75,-59.483609806902095
0.0,PD,62.0,-59.491580527599446
0.0,PD,62.25,-59.50142008644744
0.0,PD,62.5,-59.50618707842925
0.0,PD,62.75,-59.50601958482363
0.0,PD,63.0,-59.504637164624135
0.0,PD,63.25,-59.50446124951265
0.0,PD,63.5,-59.507422305293446
0.0,PD,63.75,-59.51344494216764
0.0,PD,64.0,-59.521898072383806
0.0,PD,64.25,-59.52683594534324
0.0,PD,64.5,-59.52085217330181
0.0,PD,64.75,-59.511329532093114
0.0,PD,65.0,-59.502537971349994
0.0,PD,65.25,-59.48789189940659
0.0,PD,65.5,-59.44979429225746
0.0,PD,65.75,-59.40436181657714
0.0,PD,66.0,-59.36585353868612
0.0,PD,66.25,-59.327952682258385
0.0,PD,66.5,-59.28244058182226
0.0,PD,66.75,-59.24410912193633
0.0,PD,67.0,-59.21930026931815
0.0,PD,67.25,-59.20765020640239
0.0,PD,67.5,-59.20655959691957
0.0,PD,67.75,-59.213578157304696
0.0,PD,68.0,-59.22749983446745
0.0,PD,68.25,-59.20370538251339
0.0,PD,68.5,-59.118565953724826
0.0,PD,68.75,-59.03095096034664
0.0,PD,69.0,-58.96032600009669
0.0,PD,69.25,-58.90247968010623
0.0,PD,69.5,-58.84407679702612
0.0,PD,69.75,-58.79133054061083
0.0,PD,70.0,-58.75205008415582
0.0,PD,70.25,-58.72139148777983
0.0,PD,70.5,-58.684832494477455
0.0,PD,70.75,-58.65329786722702
0.0,PD,71.0,-58.63317818067606
0.0,PD,71.25,-58.62128084037259
0.0,PD,71.5,-58.611497401952434
0.0,PD,71.75,-58.60925866538794
0.0,PD,72.0,-58.61733741060466
0.0,PD,72.25,-58.62829175981823
0.0,PD,72.5,-58.626186108030915
0.0,PD,72.75,-58.620427520934555
0.0,PD,73.0,-58.621348255538585
0.0,PD,73.25,-58.63069301620414
0.0,PD,73.5,-58.64146041573237
0.0,PD,73.75,-58.6572524435076
0.0,PD,74.0,-58.68150194158247
0.0,PD,74.25,-58.68501794409878
0.0,PD,74.5,-58.664250172454224
0.0,PD,74.75,-58.64957722453508
0.0,PD,75.0,-58.649897296877754
0.0,PD,75.25,-58.6355328139699
0.0,PD,75.5,-58.5826004615011
0.0,PD,75.75,-58.530820155127294
0.0,PD,76.0,-58.49575715312917
0.0,PD,76.25,-58.47971579565245
0.0,PD,76.5,-58.47881501908605
0.0,PD,76.75,-58.49148065363958
0.0,PD,77.0,-58.517669108606555
0.0,PD,77.25,-58.550012249622135
0.0,PD,77.5,-58.58628287633252
0.0,PD,77.75,-58.63162221450822
0.0,PD,78.0,-58.682747514995995
0.0,PD,78.25,-58.720626820485755
0.0,PD,78.5,-58.74583578675875
0.0,PD,78.75,-58.77302349511987
0.0,PD,79.0,-58.80696643174961
0.0,PD,79.25,-58.843440486944075
0.0,PD,79.5,-58.86884392643394
0.0,PD,79.75,-58.89195773464835
0.0,PD,80.0,-58.91975979569696
0.0,PD,80.25,-58.92765721720902
0.0,PD,80.5,-58.900826553013964
0.0,PD,80.75,-58.86821138247249
0.0,PD,81.0,-58.84408885226789
0.0,PD,81.25,-58.81835458261295
0.0,PD,81.5,-58.78283952486213
0.0,PD,81.75,-58.7538016876124
0.0,PD,82.0,-58.73789036239243
0.0,PD,82.25,-58.71367346530884
0.0,PD,82.5,-58.661759309072934
0.0,PD,82.75,-58.61650589209965
0.0,PD,83.0,-58.5882535815216
0.0,PD,83.25,-58.54634888289517
0.0,PD,83.5,-58.45523535103706
0.0,PD,83.75,-58.36148112643725
0.0,PD,84.0,-58.28996830465179
0.0,PD,84.25,-58.206529632225326
0.0,PD,84.5,-58.087286002190794
0.0,PD,84.75,-57.98071902593066
0.0,PD,85.0,-57.9067051342406
0.0,PD,85.25,-57.86346536346172
0.0,PD,85.5,-57.83531743679787
0.0,PD,85.75,-57.82443939287736
0.0,PD,86.0,-57.83491888162092
0.0,PD,86.25,-57.73496153221122
0.0,PD,86.5,-57.61882660854775
0.0,PD,86.75,-57.54913475185995
0.0,PD,87.0,-57.518907174669295
0.0,PD,87.25,-57.51317502016633
0.0,PD,87.5,-57.514962727954874
0.0,PD,87.75,-57.529797538823274
0.0,PD,88.0,-57.56586784084432
0.0,PD,88.25,-57.579495534448
0.0,PD,88.5,-57.55916313081998
0.0,PD,88.75,-57.551399338588936
0.0,PD,89.0,-57.56861412568042
0.0,PD,89.25,-57.58994916612927
0.0,PD,89.5,-57.587013113877994
0.0,PD,89.75,-57.58667530435116
0.0,PD,90.0,-57.60327865494504
0.0,PD,90.25,-57.56283132605171
0.0,PD,90.5,-57.475687181864124
0.0,PD,90.75,-57.41702228880875
0.0,PD,91.0,-57.39678774379031
0.0,PD,91.25,-57.36703650055097
0.0,PD,91.5,-57.32980860835825
0.0,PD,91.75,-57.317125608459015
0.0,PD,92.0,-57.336399566458425
0.0,PD,92.25,-57.34870010933257
0.0,PD,92.5,-57.35687192579744
0.0,PD,92.75,-57.38374696068638
0.0,PD,93.0,-57.431039436669515
0.0,PD,93.25,-57.47524819811968
0.0,PD,93.5,-57.49709215142147
0.0,PD,93.75,-57.52365124738792
0.0,PD,94.0,-57.5662104825158
0.0,PD,94.25,-57.557222803123516
0.0,PD,94.5,-57.50810504366345
0.0,PD,94.75,-57.48149348422062
0.0,PD,95.0,-57.484907759297506
0.0,PD,95.25,-57.46488200450943
0.0,PD,95.5,-57.446388382613485
0.0,PD,95.75,-57.46109115464054
0.0,PD,96.0,-57.5033180375335
0.0,PD,96.25,-57.55113869089327
0.0,PD,96.5,-57.58906376427834
0.0,PD,96.75,-57.63668028398412
0.0,PD,97.0,-57.69933773836755
0.0,PD,97.25,-57.73357272609231
0.0,PD,97.5,-57.73888167332072
0.0,PD,97.75,-57.750247468092276
0.0,PD,98.0,-57.77799761117536
0.0,PD,98.25,-57.769153398884214
0.0,PD,98.5,-57.6848667281351
0.0,PD,98.75,-57.598970252014944
0.0,PD,99.0,-57.540968874939445
0.0,PD,99.25,-57.37844953789507
0.0,PD,99.5,-57.16942466000455
0.0,PD,99.75,-57.01920812199433
0.0,PD,100.0,-56.935517105968515
0.0,PD,100.25,-56.90068374851999
0.0,PD,100.5,-56.871306180885234
0.0,PD,100.75,-56.864146622925695
0.0,PD,101.0,-56.88906756018934
0.0,PD,101.25,-56.92940519710689
0.0,PD,101.5,-56.95317488894374
0.0,PD,101.75,-57.00705591796762
0.0,PD,102.0,-57.086370778962355
0.0,PD,102.25,-57.129028062279446
0.0,PD,102.5,-57.14530956281099
0.0,PD,102.75,-57.17989150880871
0.0,PD,103.0,-57.237169724493825
0.0,PD,103.25,-57.284174061511436
0.0,PD,103.5,-57.301095670596744
0.0,PD,103.75,-57.32604022970154
0.0,PD,104.0,-57.3759525258343
0.0,PD,104.25,-57.3567759152794
0.0,PD,104.5,-57.30499715531999
0.0,PD,104.75,-57.2936288181582
0.0,PD,105.0,-57.32194074807854
0.0,PD,105.25,-57.19607778634437
0.0,PD,105.5,-57.17582424719566
0.0,PD,105.75,-57.21769626555702
0.0,PD,106.0,-57.29289243262578
0.0,PD,106.25,-56.86873637702168
0.0,PD,106.5,-56.557721959932366
0.0,PD,106.75,-56.42156493051594
0.0,PD,107.0,-56.38843380903129
0.0,PD,107.25,-56.39949378231822
0.0,PD,107.5,-56.42806744695305
0.0,PD,107.75,-56.48549290045354
0.0,PD,108.0,-56.570519702349884
0.0,PD,108.25,-56.60710861180322
0.0,PD,108.5,-56.624203345459556
0.0,PD,108.75,-56.66458127591277
0.0,PD,109.0,-56.72971097317675
0.0,PD,109.25,-56.391623847088475
0.0,PD,109.5,-56.20041034264647
0.0,PD,109.75,-56.11744681967306
0.0,PD,110.0,-56.11121782812982
0.0,PD,110.25,-55.45115071099912
0.0,PD,110.5,-55.23387311594336
0.0,PD,110.75,-55.211424664983774
0.0,PD,111.0,-55.29123842875355
0.0,PD,111.25,-55.17304848303727
0.0,PD,111.5,-55.228035419061484
0.0,PD,111.75,-55.37067717912015
0.0,PD,112.0,-55.555520048802904
0.0,PD,112.25,-55.68229822199498
0.0,PD,112.5,-55.74885505147892
0.0,PD,112.75,-55.84740876258048
0.0,PD,113.0,-55.97913278603152
0.0,PD,113.25,-55.985598908235396
0.0,PD,113.5,-56.02372969184005
0.0,PD,113.75,-56.12954505848198
0.0,PD,114.0,-56.27227046935813
0.0,PD,114.25,-56.32474960138606
0.0,PD,114.5,-56.35505618590672
0.0,PD,114.75,-56.42483896369418
0.0,PD,115.0,-56.53158281264616
0.0,PD,115.25,-56.16301178522717
0.0,PD,115.5,-56.08592141213951
0.0,PD,115.75,-56.13470503298268
0.0,PD,116.0,-56.244780806033226
0.0,PD,116.25,-56.09325188618768
0.0,PD,116.5,-56.1459637096541
0.0,PD,116.75,-56.26572494003801
0.0,PD,117.0,-56.41866164431202
0.0,PD,117.25,-56.234001615116384
0.0,PD,117.5,-56.186685735556125
0.0,PD,117.75,-56.239353470096184
0.0,PD,118.0,-56.35078097436278
0.0,PD,118.25,-56.2442538737677
0.0,PD,118.5,-56.12048791572277
0.0,PD,118.75,-56.09894812254485
0.0,PD,119.0,-56.15356928177539
0.0,PD,119.25,-55.4649416268949
0.0,PD,119.5,-55.125687080491566
0.0,PD,119.75,-55.03505732006088
0.0,PD,120.0,-55.07976001299532
0.0,PD,120.25,-54.57459099481876
0.0,PD,120.5,-54.309530512008905
0.0,PD,120.75,-54.253676712233805
0.0,PD,121.0,-54.31739333909263
0.0,PD,121.25,-54.035739664917465
0.0,PD,121.5,-54.046605738121734
0.0,PD,121.75,-54.19881928354153
0.0,PD,122.0,-54.417893963722825
0.0,PD,122.25,-54.30229394963928
0.0,PD,122.5,-54.21995704706216
0.0,PD,122.75,-54.267244968898595
0.0,PD,123.0,-54.4007410644792
0.0,PD,123.25,-53.499653638700565
0.0,PD,123.5,-53.23310788471011
0.0,PD,123.75,-53.24942208444257
0.0,PD,124.0,-53.400839569486514
0.0,PD,124.25,-53.179534587743895
0.0,PD,124.5,-53.18092726640814
0.0,PD,124.75,-53.30312342464165
0.0,PD,125.0,-53.503384725109875
0.0,PD,125.25,-53.612135599969434
0.0,PD,125.5,-53.72681067419959
0.0,PD,125.75,-53.902150811471145
0.0,PD,126.0,-54.117903683550956
0.0,PD,126.25,-54.01607995995082
0.0,PD,126.5,-54.13254973744886
0.0,PD,126.75,-54.33754681457902
0.0,PD,127.0,-54.584102948124425
0.0,PD,127.25,-54.46952395560796
0.0,PD,127.5,-54.45133413310697
0.0,PD,127.75,-54.52439354272177
0.0,PD,128.0,-54.66591830644706
0.0,PD,128.25,-54.65791007429012
0.0,PD,128.5,-54.699544349574985
0.0,PD,128.75,-54.82424203366857
0.0,PD,129.0,-55.000617827030965
0.0,PD,129.25,-55.109627128370015
0.0,PD,129.5,-55.17610026996047
0.0,PD,129.75,-55.27833605137056
0.0,PD,130.0,-55.41933121999148
0.0,PD,130.25,-55.28745110218494
0.0,PD,130.5,-55.1858447158754
0.0,PD,130.75,-55.216002876797646
0.0,PD,131.0,-55.32845952525828
0.0,PD,131.25,-55.34379593290138
0.0,PD,131.5,-55.31210574908755
