b2gnmda_ns,direction,trial_seed,peak_psp_mv,baseline_mean_mv,peak_g_nmda_summed_ns,peak_g_ampa_summed_ns,peak_g_sacexc_summed_ns,peak_g_sacinhib_summed_ns,peak_g_nmda_per_syn_mean_ns,peak_g_ampa_per_syn_mean_ns,peak_g_sacexc_per_syn_mean_ns,peak_g_sacinhib_per_syn_mean_ns,peak_i_nmda_summed_na,peak_i_ampa_summed_na,peak_i_sacexc_summed_na,peak_i_sacinhib_summed_na
0.5,ND,1103,16.375691725658996,5.63799362396734,32.04602135814503,10.295500812444518,15.080037928583122,215.2324798774468,0.11363837361044338,0.03650886812923588,0.05347531180348625,0.7632357442462652,1.608612657561676,0.5360206287780662,0.7501697327445661,2.2747268227863975
1.0,PD,2000,34.75938190033207,6.797751895216187,318.9050620459427,10.823361731294728,15.201198260947596,112.32503299682239,1.1308690143473146,0.038380715359201165,0.053904958372154595,0.3983157198468879,9.883724920174432,0.36103166138919385,0.4907883797899113,3.226227391107629
1.0,PD,2001,34.47063462888005,6.851236882129221,327.8763802555657,10.893519233318798,14.943460173461894,108.37375685275605,1.1626821994878218,0.03862950082737163,0.05299099352291452,0.38430410231473777,10.772362669164714,0.40187357024067766,0.47669016250256635,2.964114904224533
1.0,PD,2002,34.306678024895085,6.5683681787171935,326.99073949592827,11.28135549098194,15.480305975014181,107.50034983577835,1.1595416294181853,0.04000480670560971,0.05489470203905738,0.38120691431127074,10.250668786406381,0.3914842011035535,0.5237474140778182,2.9164584421382327
1.0,PD,2003,34.851554440283586,6.744746314378347,311.8454911679775,11.289049200956248,15.403791589092759,99.77524214046856,1.10583507506375,0.040032089365093074,0.05462337442940694,0.3538129153917325,9.578191239834558,0.4016034639493918,0.511149205538317,2.9005493068473567
1.0,ND,2100,27.893009535400438,6.026460857124853,185.78722285797386,11.020857288728081,15.567269889237394,220.736023662987,0.6588199392126732,0.039081054215347806,0.05520308471360778,0.7827518569609468,6.981557089059089,0.5054813303282074,0.6800819057085589,3.991282931230798
1.0,ND,2101,27.880960625479496,5.8891078721534456,165.38808371502512,10.916062345174282,15.824461156311223,221.30082958762358,0.5864825663653372,0.038709440940334336,0.05611511048337313,0.784754714849729,6.620657093542625,0.5142886305873987,0.6419986977553168,3.8839863148143507
1.0,ND,2102,27.255550712934273,5.997353713894199,169.03071318842515,10.710760464337637,15.004093465799738,208.71625628432966,0.599399692157536,0.03798142008630368,0.05320600519787141,0.7401285683841478,6.527401319598404,0.5089479136761986,0.6288072283731084,4.237181296932873
1.0,ND,2103,26.963791601705694,6.016300774018411,170.66467634008626,11.496261399643894,15.029067466879262,206.1543405916915,0.6051938877308023,0.04076688439590033,0.053294565485387455,0.731043760963445,6.76711191822513,0.5282840458649,0.6945110152515606,4.081153990167149
1.5,PD,3000,38.70711001573308,7.199646848340002,626.6257474269222,10.016915767295572,15.014077968239782,101.82692925973446,2.2220771185351853,0.03552097789821125,0.053241411234892844,0.361088401630264,16.957336463053842,0.34495559336051124,0.44200181905383845,3.3613098022901804
1.5,PD,3001,38.42284745201634,7.606898543973195,629.4262563391975,10.505350832583872,16.55008384599258,104.9172802147416,2.232008001202828,0.03725301713682224,0.05868824058862618,0.3720470929600766,16.957483770650317,0.35684998377388716,0.4555230022182439,3.4204689117129328
1.5,PD,3002,38.788794559878674,7.533843893234035,597.1674256207945,10.18057423404141,14.24415289307333,103.83482965617134,2.1176149844709022,0.036101327071068834,0.050511180471891244,0.368208615802026,16.296302911560336,0.3596056165413935,0.45450098923901505,3.400420575237012
1.5,PD,3003,38.83942097896157,7.2663218079065715,609.1811417506286,10.069545230394683,15.384051090825556,105.20294447812229,2.160216814718541,0.035707607199981145,0.05455337266250197,0.3730600868018521,16.386100608901486,0.344277590098969,0.46531290979164297,3.47010766987229
1.5,ND,3100,35.48098516854991,6.477139802838167,467.2699966108695,10.382769474550878,15.079936878679483,213.2516582636187,1.6569858035846436,0.03681833147003857,0.05347495347049462,0.7562115541263075,14.253539484080456,0.4780992220806631,0.5960687338741192,5.70615662568581
1.5,ND,3101,36.029729275250695,6.4832609667287,475.88327742759463,10.062711644625178,15.59475080654006,211.83794592196523,1.6875293525801227,0.03568337462633042,0.05530053477496476,0.751198389794203,15.151702574610187,0.45828316817514814,0.6044772851572601,5.570895038479783
1.5,ND,3102,35.19372862057202,6.4016067426574,448.9456519701382,10.501746970049899,14.274407786724833,220.7908378891813,1.5920058580501355,0.03724023748244645,0.050618467328811464,0.782946233649579,14.6267607546011,0.42650834382947694,0.5315794403584383,5.8694509073796475
1.5,ND,3103,35.70264601833092,6.337343838292831,457.87494517914433,11.02321208164481,17.65920045424056,210.7666652580563,1.62367001836576,0.03908940454483975,0.0626212782065268,0.7473995221916889,14.451621977487909,0.43204954017370745,0.6249403464184756,5.715854137839252
2.0,PD,4000,40.58364697493349,7.909876444193095,876.4363175389791,10.85117478295073,15.09953761442039,105.97097328711834,3.107930204038933,0.03847934320195295,0.05354445962560422,0.3757835932167317,22.19691356034218,0.3160913957907428,0.40552140605614306,3.728544170331189
2.0,PD,4001,40.8589203904522,8.25793516345049,899.287715324097,10.938176183112452,14.04118401548786,104.10378937755131,3.1889635295180745,0.038787858805363305,0.049791432679034964,0.36916237367925997,22.119674773769184,0.33081387184099165,0.4153429127097035,3.673434544186743
2.0,PD,4002,40.41203541739011,7.999656288863989,865.6643092148347,9.732033454387123,16.218031502287637,104.75386160737709,3.0697315929604065,0.03451075693045079,0.05751075000811219,0.371467594352401,21.770252881909062,0.2931166514957838,0.4724559370178028,3.6534943943448956
2.0,PD,4003,40.2832593155112,7.8334136319305685,881.1417045560293,10.05470316704116,14.880511353325081,102.41477409990563,3.1246159736029404,0.0356549757696495,0.05276777075647192,0.3631729578010838,22.59055798525063,0.30632170183841645,0.3770228619586005,3.5403729918316973
2.0,ND,4100,37.68018360468246,6.774997601988154,726.2252158027449,9.945884558655674,14.677260357698307,216.1598956521441,2.575266722704769,0.03526909417963005,0.05204702254502946,0.7665244526671776,20.422129192651774,0.4183529710736732,0.49569053031616056,6.3682520804693645
2.0,ND,4101,37.7567668009512,6.982933928202648,725.1368212299062,10.935632964573724,16.535491076760316,216.2219548862406,2.571407167481937,0.038778840299906824,0.05863649318000112,0.7667445208731937,20.73945951479079,0.38495205310351044,0.4980501516743393,6.734613194162509
2.0,ND,4102,38.063010673401436,6.676599399659786,736.7386677820709,9.918146074381124,14.834858899167099,213.47028251278377,2.6125484673123083,0.03517073076021675,0.05260588262115992,0.756986817421219,20.447076213823756,0.3849305774075927,0.4681841767130012,6.590074629260214
2.0,ND,4103,38.540441454512674,6.837402545265519,763.8611149563625,10.646681551006026,17.30877062579685,215.2836497339097,2.7087273580012856,0.03775418989718449,0.061378619240414364,0.7634171976379777,21.5479395047672,0.3816768421324863,0.6223950899855571,6.702568122564249
2.5,PD,5000,42.0202769370196,8.423679852259014,1172.3770734125992,10.722469596738835,15.083768160118392,108.18133716354357,4.1573655085553165,0.03802294183240722,0.05348853957488792,0.38362176299128925,27.43824560275539,0.38819425418201264,0.3860946371008144,3.798736754486624
2.5,PD,5001,41.509331911931,8.411927727652348,1132.429307259267,10.950011822516034,14.667698256465924,102.15557740124635,4.015706763330734,0.03882982915785828,0.05201311438463094,0.36225382057179556,27.504490443375676,0.3471172334238938,0.36442237915395276,3.697949267087967
2.5,PD,5002,42.305592271643235,8.085183070706144,1165.8334970891908,11.178128470891982,14.494209784578628,102.06734029339349,4.134161337195712,0.03963875344287937,0.05139790703751286,0.36194092302621805,26.92996074658936,0.32356091758887684,0.3816853372312436,3.587951894928544
2.5,PD,5003,42.07153813515425,8.30814122867725,1152.9514723168,11.871308185307052,14.682771920348712,102.13145654816785,4.088480398286524,0.04209683753654983,0.05206656709343515,0.36216828563180087,27.275869337670873,0.28737228419183586,0.37729773099224967,3.7500086969886812
2.5,ND,5100,40.201983372040665,7.271114009989489,1059.5177364775577,10.692665679376567,15.981346531031182,214.38231571522206,3.757155093892049,0.03791725418218641,0.05667144159940136,0.7602209777135535,27.70807184211994,0.3596867881350887,0.4325446056229873,6.932824668122853
2.5,ND,5101,39.83346790282075,7.345275749920546,1048.5739345469358,11.489728476216134,16.03660445853715,208.20530514024162,3.718347285627432,0.040743718000766434,0.056867391696940245,0.7383166848944739,27.236033347676333,0.3613880432342039,0.43576443546142446,7.032651496416635
2.5,ND,5102,40.076848869779425,7.275256849683558,1060.7223138552529,10.887947689650685,15.506909792073388,213.43427409122515,3.7614266448767832,0.03860974358032158,0.05498904181586308,0.7568591279830679,27.758213414341977,0.3620871329980225,0.43529425068504674,7.116219966858728
2.5,ND,5103,40.52838323254204,7.48425518479209,1035.7216381653936,10.194952204983467,16.728904665616692,215.25143704612063,3.672771766543949,0.03615231278362932,0.05932235697027196,0.7633029682486547,26.669260447717203,0.3399918902690176,0.4597481237316786,7.135082642206619
3.0,PD,6000,43.276041891292515,9.35501184763509,1413.9853448527822,11.519086146498623,14.44062892018591,107.76775083440991,5.014132428555965,0.040847823214534125,0.05120790397229046,0.382155144802872,32.18592564849124,0.31230403679159024,0.3900329301208838,4.0224673117497005
3.0,PD,6001,42.28007085385401,9.163894030668708,1399.4431040660756,9.499436649448269,16.179124615037217,103.70960781269596,4.962564198815871,0.033685945565419394,0.05737278232282701,0.36776456671168783,32.952002144076125,0.3145661636341929,0.3970619436594343,3.8064003863069855
3.0,PD,6002,42.689221795018426,8.939096293808014,1419.790094872208,10.54018925086431,15.273125691243312,107.98738290323759,5.034716648483007,0.037376557627178404,0.05416002018171387,0.3829339819263744,32.71977907280242,0.31271162742898617,0.35727793057504004,3.993146034232088
3.0,PD,6003,42.771067195221505,9.31304444653459,1446.4976052248053,10.057928860853265,14.74928205258369,111.27308607164461,5.129424132002856,0.03566641440018888,0.052302418626183296,0.3945854116015766,33.579163482039895,0.27990751961105204,0.34103736450334077,4.114465410288335
3.0,ND,6100,41.76745767754137,8.23281871027929,1331.2825223282578,11.546769664234697,15.139851908843982,209.74249937117398,4.720860008256233,0.04094599171714432,0.053687418116468016,0.7437677282665743,32.941000434373755,0.3624825499931126,0.41087111250047886,7.153466887416377
3.0,ND,6101,41.22250246939969,7.7109228654295165,1301.7181799988928,10.365301545013558,15.173505274739822,205.13471526957153,4.616021914889691,0.03675638845749489,0.053806756293403625,0.727428068331814,31.933611854370874,0.33445289706267045,0.40145770428757777,7.185987396747829
3.0,ND,6102,41.09388590659111,8.37568580415941,1350.6409406686469,10.411942960971645,15.815083388513214,219.68141385470568,4.789506881803712,0.03692178354954484,0.05608185598763551,0.7790121058677506,33.31760316232366,0.33113988941312894,0.44813683755745326,7.422044798012243
3.0,ND,6103,40.92547378918576,8.258359473473405,1346.215455318395,11.060434824092766,15.206847726100156,210.59483194256728,4.773813671341826,0.03922140008543534,0.05392499193652538,0.746790184193501,33.30172397770868,0.33996774265721663,0.4496640155450852,7.438157479505404
