condition,flicker_var,direction,trial_seed,peak_psp_mv,baseline_mean_mv,peak_g_nmda_summed_ns,peak_g_ampa_summed_ns,peak_g_sacexc_summed_ns,peak_g_sacinhib_summed_ns
AP5,0.1,ND,11110,11.036264183092527,6.5573652781252605,0.0,10.833264242644995,14.956069756240659,217.75607096038567
AP5,0.1,ND,11111,14.638876855210206,10.092704167853078,0.0,10.621077553947064,27.739394127945587,188.38431757433713
AP5,0.1,ND,11112,13.565872624609845,7.598011326638414,0.0,10.863400452702042,17.971853840274584,198.96231056214853
AP5,0.1,ND,11113,11.841353753545562,6.096781869584724,0.0,10.792387946859746,15.358058196781743,212.83218196125438
AP5,0.3,PD,11200,14.097597325131481,9.466349290728786,0.0,10.311864258372234,29.768796393892,166.42748094537782
AP5,0.3,PD,11201,13.98637486843252,9.636628530425178,0.0,13.048230956393608,20.960904869133525,126.00394383076753
AP5,0.3,PD,11202,13.457343828118603,9.99505779586606,0.0,9.486160866334087,17.595623780379242,119.26241139669696
AP5,0.3,PD,11203,13.971312988031414,9.802977160101712,0.0,11.947177526756356,19.692426608798247,132.5798482308319
AP5,0.3,ND,11210,13.51817519396608,7.147614945622742,0.0,11.678553952385009,20.14107037021139,215.96518989259613
AP5,0.3,ND,11211,12.891791736763011,5.332846328974817,0.0,10.521116045167272,16.222405887903772,215.06879410975532
AP5,0.3,ND,11212,13.301811711076653,9.334536254684664,0.0,9.836546382855312,17.095219399252255,193.71001036043515
AP5,0.3,ND,11213,12.505274444748672,5.5534024338034484,0.0,13.45465417618992,19.85742843738589,273.18739017519573
AP5,0.5,PD,11300,14.72752666901063,9.25454816596843,0.0,11.4490302744868,19.525577720394438,121.88039657291928
AP5,0.5,PD,11301,14.394159423376344,6.682911151799274,0.0,15.300486598635514,23.500955361169215,142.21890519064837
AP5,0.5,PD,11302,13.28869533960573,9.925969366250499,0.0,13.45083331901603,20.480237771489335,154.68449448491245
AP5,0.5,PD,11303,17.47550298396756,5.42147967409133,0.0,20.732381325608568,27.199148210958114,173.05842975591992
AP5,0.5,ND,11310,15.91123955611014,5.138122391102499,0.0,11.677311742571616,29.412582939071157,205.30085447517044
AP5,0.5,ND,11311,13.40632948827865,8.880693277755235,0.0,16.25481174509921,24.35957326074123,285.4299189074351
AP5,0.5,ND,11312,13.019461046779057,5.802665476166311,0.0,11.87743541920899,18.618639131641984,215.25990407405112
AP5,0.5,ND,11313,12.237366194763808,5.186686383076015,0.0,14.872613563563547,24.986443912654632,306.81536582791114
0Mg,0.0,PD,12000,21.634472372202993,6.146295890775058,48.800785821485135,10.393926169833158,15.604698739641709,109.36782115601339
0Mg,0.0,PD,12001,23.31857553702519,6.17666128203463,50.78734513207119,10.51414027647702,13.907660022968077,104.94301378766077
