,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
SKAHP_TAU_CA_MULTIPLIER,-0.9301484041029934,0.15706116014215843,0.007744617723941299,-0.041724824604386236,0.12033310905174217,0.03180605289746598,-0.031167010908316813,0.007010965118901392,0.008804731581268606,-0.003465971313373811
RA_OHM_CM,-0.08377155109702032,0.2401191745532612,-0.6368132159443851,-0.002145467802133996,-0.06502291344563799,0.10293091690946257,-0.17204604444696683,0.2686330775018881,0.10839105170785925,-0.28654806743595
CM_UF_CM2,0.3199330354440855,0.4535173535897961,0.031935699411941576,0.10255929741111569,-0.030734948602647222,0.20529653287743113,-0.06093491548774657,0.07195163078924005,0.061826633790991445,0.1305385871325727
GLEAK_S_CM2,-0.41105187921531516,-0.20358516415407046,-0.12426767829694157,-0.2151838616986741,0.33839562993334327,-0.16024265564901044,0.012137981735757634,0.027832599420693303,-0.1262419377995686,-0.054449706673550154
CAD_DEPTH_UM,-0.5779628704333464,0.3437700772426816,-0.10027083622134964,-0.46271851034159844,0.16915846957129396,-0.010831326103258538,0.20309906245171835,-0.1180644989473911,0.12407830109910839,0.014375861324087469
CAD_TAUR_MS,0.18091996075460937,0.26981653403207473,-0.0902040305523184,0.0136554187883824,-0.4671827797535245,0.013142207964648985,-0.006289762214838733,0.07859674679194664,0.014824420288569515,0.436190760587249
N_ACH,0.9033719041867304,0.1668386523066367,0.06457542188450452,0.05393542545196572,-0.11481991469055458,0.05218235106292692,0.024684861897669066,0.07825534318559364,-0.0033139359403009817,-0.0340420497754829
N_GABA,-0.18139851557111192,-0.608526017696163,0.2507675082365755,0.07295187536474412,-0.02190463340698342,-0.11222024956465239,-0.05391514080611717,-0.08544288012528684,0.04780892641106427,0.15358254634064217
RHO0_ACH,0.7809609196108849,-0.04174487036761217,0.025875855686955197,-0.0026084760800987065,-0.09415345382159747,0.13754459600192304,-0.04441744708912411,-0.10587115289191024,0.13833389086858983,0.08725043285726627
LAMBDA_ACH_UM,0.27880481223883424,0.07775953999013147,0.3800748893212326,0.07642190443910213,-0.12156655394858835,0.012159808312155003,0.0077309800792139454,-0.01723035388241857,0.07749396272593215,0.07270769532982706
RHO0_GABA,0.7354214786920727,-0.006613883830570384,0.17294167703786,-0.04635423730044728,0.005370711585377642,0.07809920590938424,0.08452321880629404,0.0650435449589348,0.08255773625026995,0.04628426236648843
LAMBDA_GABA_UM,-0.4632992540326144,-0.07896230890917905,0.43888246606721293,0.10826897905744867,-0.06852634988067657,0.006755449924454968,0.18579018253475793,-0.037628312630742115,-0.004137687948902513,-0.014921645652800741
W_ACH_US,0.6704258609612713,0.17396248012833518,0.09486431908935561,-0.24255403443638673,-0.08373585518487987,0.01900879170479086,0.026839148374424204,-0.07893385798600246,-0.16342094301348167,-0.0360589407839355
W_GABA_US,-0.5046322554311882,0.7932850520849332,-0.03606465886846887,-0.0672357334567602,0.19506315469138513,-0.041371803150825996,0.08971439509258151,0.08022415685985558,0.013692787041114093,0.08809388719877312
AIS_LENGTH_UM,0.44106724244556933,0.20681421898174257,0.3279442579020877,0.04860899939431493,-0.2802410480194238,-0.07626946917471804,0.010582275262860298,-0.31312822396753465,0.04013865543848833,-0.042461296611067054
AIS_DIAMETER_UM,-0.8816458001426106,0.03881238984319633,-0.041719460973989535,0.036809816448032884,-0.05208318726728717,0.09286077497733286,-0.310652258365759,-0.10151305199095252,-0.06941883156395535,-0.0635010483484569
GNMDA_DEND,0.5294199362975672,-0.4220016533289306,0.35968552938218645,0.048707761483201995,0.054577265783586584,-0.07216036875060274,-0.03977634185619757,-0.19613876010515058,-0.0032094782659998623,0.015362134091064364
MG_CONC_MM,-0.5029483223235033,-0.7896230287277426,-0.016624977543821556,-0.06594262797973843,-0.039923281650216136,-0.083423801785864,0.173295246340406,0.08321497771902836,-0.11646771941993812,0.018822512557708587
VOFF_NMDA,0.07370508361443644,0.306965368319188,0.4677488798114038,-0.018292243812368308,0.003934285843811803,0.058478747545136184,-0.0013222229980923942,-0.29859487917447747,0.148808035948805,-0.15021868783093376
NAV16_DEND_DISTAL,0.16083093692716588,-0.16318289562598398,-0.09275540042916278,-0.04259550158173716,-0.06013211451866303,-0.04031327929203126,-0.04209346443668312,0.18652368752690615,-0.054897685633896166,0.10686456574768509
NAP_DEND_DISTAL,0.6369117634384182,0.09596147136624564,-0.018183794150141198,-0.032984720650089984,-0.24440027511261736,0.03893083234003396,0.09157188471464699,-0.06822944872759057,-0.04014395888373415,-0.2185958746837944
num_primary_branches,0.4838634883273144,-0.6570095175848513,-0.04107079605365179,0.00251169366918853,0.2042169748023634,0.35428252567240825,-0.05535640717559536,-0.07636470402532136,0.027384390515420742,-0.0478268699803739
branch_prob_per_um,0.6283576157849745,0.2523554616027689,0.06951218018128606,-0.28423448767538767,-0.11863300423294507,0.19684399428963945,-0.1348902870259143,0.24556507215632364,0.053065215693111144,-0.029497429441002723
max_strahler_depth,0.12062704334369886,-0.027413331592807594,0.019810280268564504,-0.06960907984141476,0.2746059709866739,-0.36611669624887455,-0.14755322462597867,0.08268477101779952,0.04763555577164532,0.077060942656495
mean_branching_angle_deg,-0.4085642712010983,0.00964321566469167,0.31132880715649625,-0.11367404534883664,-0.11074298797135422,-0.01879879095024665,-0.041669246979883987,-0.014926882759315087,-0.10864314395668873,0.09472955128134108
rall_exponent,-0.5420799133467824,-0.3330852550506542,-0.0553017862065373,0.0007330879997769585,0.16777668631787074,0.1004579887976333,0.021486396418787905,-0.02950447581591631,-0.043085691789485424,-0.16624385431685812
soma_offset_pd_um,-0.8007468873830307,-0.08705415748354092,0.1343109871952879,0.12405456380875989,-0.03829721926900462,-0.09352246959958692,0.00981217270040612,-0.07024449897520363,0.1118357540449658,-0.11844019155710894
field_elongation_pd,0.24626611333327253,0.6543133836748516,-0.1063451348123757,0.12722109819242872,-0.22082700961080184,0.32616436309627383,-0.133025277843249,0.06324395295440287,-0.08009234979899885,0.1200171882016128
branch_density_gradient_pd,-0.6340170085086504,-0.43374576728606656,0.018371173612265073,0.09887714463267139,-0.01683020958975258,-0.04934996533526655,-0.39376316208458856,0.08568762748454933,0.03066046804865529,0.08927321047725816
primary_branch_pd_concentration,-0.9451115842742881,-0.020408697687452283,-0.0162485119382254,-0.029317351597115213,-0.017241700442252535,-0.07229644671903665,0.057503487323198474,0.04952258743905036,0.0527748566823062,0.0443123897635087
mean_segment_length_um,0.3716387054626679,0.2605483917823676,0.5828759210125888,-0.19492181914071774,0.1713627110836219,0.019420617049281386,-6.968143650299656e-05,-0.5232864867718596,0.03300947489117519,-0.023770858848968644
soma_diameter_um,-0.3191985157472205,0.6420475117141887,0.1448304003539049,-0.3086576149265745,-0.09309109798359039,0.0341132332104218,-0.11914648062124207,0.03658878158852012,0.09602018789556432,0.112478711440912
ais_length_um,-0.3812166960121869,0.24036512207417637,-0.0821617015184659,0.30334895210491325,-0.19223589982911535,0.1496247473243342,-0.10275840526394897,0.024320440379597876,-0.034847417246366766,0.04742444592479198
morph_seed,0.5076165560776438,-0.5396510885354842,0.1418625786191678,0.19907256542700416,-0.08000273454642642,0.04132488657270128,0.07181157880164567,-0.01820006089941103,-0.2627442076277244,-0.13804276108744917
branch_length_cv,-0.2816636441422448,-0.25111170639942704,-0.3903874479640358,0.016436393819776896,0.06781855479312555,-0.24930107332570992,-0.04344497703868727,0.1820769517246819,0.07411138846986261,0.20491012786947274
