,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
KV4_GBAR,-0.25134259910296414,-0.0964346561699514,0.4636186078752787,0.07834383455686951,-0.025806119454623022,-0.11841339393553955,0.08174389537094529,0.03967115763816555,0.2323204992183552,0.026416795007646977
NAR_GBAR,0.5275219274547224,0.11527246113585267,-0.10998725473287436,0.05032353480913375,-0.1105655770204477,0.15520828158620867,0.26058862583364123,-0.16683227626254182,-0.011277023073961778,-0.07911334266136688
IH_GBAR,0.6538364446862348,-0.2395045584019519,-0.07389600945257405,-0.1494269416558948,-0.1780370551543908,-0.09875498615389913,-0.0717239126971914,-0.03112628168663123,-0.024739290351010752,-0.060258156135102485
CAL_GBAR,-0.03210895580237463,-0.18763463208380193,-0.28460173706780095,0.012118083137639665,0.09683480449293116,0.013453260261917864,-0.08616747770756637,-0.06115755691890008,0.14763695910435023,-0.08994818781630966
CAT_GBAR,0.3229417834616331,-0.10631736856459753,-0.1732159779007074,-0.09551749018005017,-0.11706629788431339,-0.05032553715394217,0.21792760231284908,0.01613815702373357,-0.03851456489713111,0.017051891392043134
IM_GBAR,-0.3095568700702376,0.09413337097433759,-0.1713586094813283,-0.05176738592593369,0.16942922736124993,-0.014697663901295257,-0.13793057111354776,-0.19758486154574584,0.027556934264444694,-0.1125448945791497
SKAHP_GBAR_SOMA_AIS,0.039596801740862296,-0.28926393093555014,0.025627581449844082,-0.07214852171395787,-0.2158565931884871,0.09695562902508346,0.04860704694396103,-0.019791526108752195,-0.08484663199778819,0.24201304113101302
SKAHP_TAU_CA_MULTIPLIER,0.4200730802419185,-0.35166420605656434,-0.07716405218340625,-0.08263053584309489,-0.035839358032299574,0.17322821209913328,-0.13347502941533582,-0.10425300649311095,-0.015406775251467095,-0.2365592977117673
RA_OHM_CM,-0.5028546100203374,0.17244741448461562,0.2188373796757434,0.1174190645923171,-0.07480441565605389,-0.20411210901389307,-0.25772149061704674,0.10926696821290599,0.013685816144271803,-0.17917588420030967
CM_UF_CM2,0.10988715421325304,-0.06694105699588987,-0.1191734855710649,-0.1464930291844699,0.02054342884986173,-0.011655144401150893,0.023736932873573098,-0.010783846213907457,0.028999386185586364,-0.38031368368141094
GLEAK_S_CM2,-0.027651993235144095,0.18730304546773294,-0.10429585884212295,0.030855201268421173,0.06003497460126051,-0.2031020211476634,-0.05316616597836577,0.37122866959321743,0.04913243138938955,0.0814073911809269
CAD_DEPTH_UM,0.3454193289557663,-0.30477450231938225,-0.20151911387543933,0.2213542150544146,-0.12516488932961922,0.1037965597724111,-0.23415257763549108,0.031852109950192685,-0.04726102246429788,-0.1773567122395803
CAD_TAUR_MS,0.5380304361985867,-0.04160562572359954,-0.1405181308714786,-0.13155582971618815,-0.27659840706946054,-0.07750155817815801,-0.1666178452374035,-0.11971268498263428,-0.02838946805148454,-0.08375978089072364
N_ACH,-0.3262626164199594,0.08959373940950925,-0.10598182916787634,0.09335587702695848,0.10966160237768455,0.13997327037684468,0.014226826663142041,0.22475872230435429,-0.1671603815663251,0.1784361156601643
N_GABA,0.33611049834445095,0.19246377584159952,-0.08809654565294865,-0.27100167309671924,0.020309629267876127,0.19008220945001553,-0.08885150897860733,0.007539266327028703,-0.006879255932462489,0.02496517369709255
RHO0_ACH,-0.15318282380516307,-0.35178198556903484,-0.030925501344969467,-0.38507202970519755,0.005640815572880549,-0.010071620280062638,0.021238175887673377,0.02217649900713314,0.1071697838055575,-0.1416040861411161
LAMBDA_ACH_UM,0.03542330325054724,0.25679092419059785,-0.06243405819182839,0.17259847538760015,0.014563543460274518,-0.030375936662674692,0.22379322691525105,-0.1620187965051323,0.10104069732258777,-0.057861403008140445
RHO0_GABA,-0.4390981300472229,-0.06756928892310392,0.10365444035993893,-0.06994551204679693,0.10360808028080117,0.4500494612616085,-0.0317779174980489,0.057337059501458745,-0.03341576026947908,0.002286417418201979
LAMBDA_GABA_UM,-0.26697439746621426,0.014215935681650235,-0.02773057245666845,0.08369505402661816,-0.08736826091219516,0.1892501557090451,0.12433457262094343,-0.04532776967332924,0.06133428630830906,-0.0507763304652903
W_ACH_US,-0.7257524934022548,-0.058490185727876995,0.15013175834625353,-0.09768725030087502,0.04153194371233692,0.035824928394623576,0.1772260542184002,0.11390393883987412,-0.01812255555292583,-0.13138574445971613
W_GABA_US,0.05202342841766363,0.02627464549329419,-0.07207275984494495,-0.09653199723831773,-0.05464879177037733,-0.08145482256611254,0.005800979318796365,-0.022043179446700437,-0.05638044022272533,-0.3613880682138328
