cluster_id,generation,cell_index,mi_count_bits,atp_per_spike_molecules,dsi_vector_sum,pd_rate_hz,pc1_combined,pc2_combined
3,16,1458,0.0,63397753.73434218,7.204529898187539e-17,0.7142857142857143,-1.8471728018111615,-3.028444868455871
3,16,1459,0.0,25737204.790566564,7.204529898187539e-17,0.7142857142857143,-2.730639842128915,-0.9333946819752758
1,16,1460,0.0,6795258.140899246,7.204529898187539e-17,0.7142857142857143,0.6394936733176705,2.705574614389815
0,16,1461,0.0,106549579.91413686,6.791804427409221e-17,50.714285714285715,-6.289233369226822,-2.568087187762484
3,16,1462,0.0,8292647.980910538,5.897955049882633e-17,17.142857142857142,-0.5109402540224693,-3.270726188095099
3,16,1463,0.0,8534726.690811472,7.204529898187539e-17,0.7142857142857143,-0.10881753260901991,-1.714840699707424
4,16,1464,0.0,11021271.804211818,5.897955049882633e-17,8.571428571428571,-4.915574397138965,-0.6523326835216894
3,16,1465,0.0,10861836.88041187,3.345509294771348e-17,22.142857142857146,-1.702296835523159,-3.543008424260305
2,16,1466,0.0,5521216.263819524,7.204529898187539e-17,0.7142857142857143,0.6603372745502403,2.3302795987094393
0,16,1467,0.0,20000000000.0,0.0,0.2380952380952381,-2.4655810378564356,-3.8977528051269807
3,16,1468,0.5083849954297467,8267145.4746356215,0.0988211768802618,2.142857142857143,-2.195329414795633,-5.665268069620857
4,16,1469,0.0,9870448.875891237,7.204529898187539e-17,5.714285714285714,-4.657670930662605,1.0427231425917414
2,16,1470,0.0,4957782.0343026025,7.204529898187539e-17,0.7142857142857143,-0.11913745456856874,4.3912953963819215
3,16,1471,0.0,9750501.802513156,5.897955049882633e-17,17.142857142857142,-1.1546995983769035,-3.019880608582491
0,16,1472,0.0,16610520.701724513,5.897955049882633e-17,4.285714285714286,-3.4155243322647673,-0.4663041272243375
4,16,1473,0.0,24464531.31057152,7.204529898187539e-17,0.7142857142857143,-3.848759175188861,2.3512301723020834
1,16,1474,0.0,9714256.414627708,7.204529898187539e-17,0.7142857142857143,-0.8618866221413987,3.884082953362875
3,16,1475,0.34038395951278777,19381380.75844098,0.1578947368421052,1.4285714285714286,-2.437048127306312,-4.370430369613619
4,16,1476,0.0,11632158.218984336,7.204529898187539e-17,0.7142857142857143,-1.3064523635414753,1.5305928132911153
1,16,1477,0.0,5896077.623979501,7.204529898187539e-17,0.7142857142857143,-2.1218472375847397,2.427190150649442
0,16,1478,0.0,8910922.826442022,6.55305078428235e-17,13.571428571428573,-5.02217148339065,0.7249105251716679
3,16,1479,0.0,7552145.022126882,7.204529898187539e-17,0.7142857142857143,-1.8705501649718599,-0.025407106005443537
4,16,1480,0.0,12811436.386396056,6.844639901373228e-17,25.0,-3.660815682286567,-1.6975771641757469
1,16,1481,0.0,6491810.8050430305,7.204529898187539e-17,0.7142857142857143,-1.3901464988464387,0.7973097623481015
3,16,1482,0.0,11158105.109592384,6.388418785130454e-17,14.285714285714286,0.13611432818954128,-3.7504289875520236
3,16,1483,0.0,13019686.907312319,5.581431114489108e-17,10.0,-0.7888079578826039,-2.045993249974725
3,16,1484,0.6309412443480125,7437863.112345976,0.11111111111111108,2.142857142857143,-0.5504747977266232,-5.3795769475802055
1,16,1485,0.0,8344960.11936183,7.204529898187539e-17,0.7142857142857143,-1.80898205259236,-3.6073996655065987
3,16,1486,0.0,20000000000.0,0.0,0.0,-3.762187422323778,-3.0423670691230895
1,16,1487,0.0,9283209.53889947,7.204529898187539e-17,0.7142857142857143,1.338733296774569,0.5731266395699885
3,16,1488,0.0,15552005.59466955,5.723627517732497e-17,18.571428571428573,-4.649391266398864,-0.2585405757789897
2,16,1489,0.0,5652775.748669363,6.55305078428235e-17,13.571428571428573,1.0383991283893064,0.14956086698104304
3,16,1490,0.0,6059238.673837181,7.204529898187539e-17,0.7142857142857143,-2.9209721247259894,3.958452455147323
2,16,1491,0.0,5471005.00908009,7.204529898187539e-17,0.7142857142857143,-1.0381804563688235,3.5220303255705865
1,16,1492,0.0,8841698.168667592,5.897955049882633e-17,4.285714285714286,-2.9101341938691436,1.3361584718817803
3,16,1493,0.0,10084093.09048898,7.204529898187539e-17,0.7142857142857143,-1.2219589392532615,0.15142278363170675
4,16,1494,0.0,7661763.921929785,7.204529898187539e-17,0.7142857142857143,-3.266585575321791,2.220841357726313
4,16,1495,0.0039060116788910415,9441480.661720267,0.043478260869565265,1.4285714285714286,-2.83904138598167,-2.8710129259909314
3,16,1496,0.0,7257205.400115613,7.204529898187539e-17,0.7142857142857143,-1.1235827971362788,-4.817105017660853
2,16,1497,0.0,28093422.054837793,6.468092521345224e-17,27.857142857142858,-1.394855279778438,-1.8397275173002863
4,16,1498,0.0039060116788910415,29242171.72585936,0.0030959752321980854,19.28571428571429,-4.349332878959154,-1.009047526556296
4,16,1499,0.0,19727955.677677937,6.388418785130454e-17,7.142857142857143,-2.0257841233620892,3.4868080753771937
3,16,1500,0.5984741568050038,40247791.00086749,0.18181818181818177,1.666666666666667,-3.6104138854085392,-3.8565397336406804
1,16,1501,0.0,9252693.580309037,5.581431114489108e-17,10.0,-0.848590853837332,-0.38124000744840786
3,16,1502,0.0,43228546.88882854,5.897955049882633e-17,4.285714285714286,-1.6962166795596896,-3.9290785382482922
2,16,1503,0.0,7197492.946810952,6.114666873769523e-17,31.42857142857143,-0.08057073641489203,-1.8262796807823536
3,16,1504,0.6309412443480125,9833085.292508466,0.008695652173912997,20.714285714285715,-1.4044251752918322,-4.693796986376349
4,16,1505,0.0,14172964.021661228,7.204529898187539e-17,0.7142857142857143,-5.721387820335837,0.6472503863947913
3,16,1506,0.0,9010357.094803035,6.388418785130454e-17,14.285714285714286,-0.2899992050191126,-4.530632727556802
0,16,1507,0.0,13479440.925039973,0.010752688172042954,5.714285714285714,-7.640281983942211,-1.6465035148707101
2,16,1508,0.0,12968861.176543402,7.204529898187539e-17,0.7142857142857143,-3.6597697294733327,0.6721666115415816
0,16,1509,0.0,13698918.945488418,7.204529898187539e-17,0.7142857142857143,-1.9049770420618772,-0.3696127691076587
3,16,1510,0.0,5200171.500330029,7.204529898187539e-17,0.7142857142857143,-0.14495779145331916,1.7142922338683908
4,16,1511,0.24011158302361144,12555858.659113947,0.07692307692307687,1.9047619047619049,-2.6954753758011827,-3.633189312338849
3,16,1512,0.5984741568050038,10015553.08436575,0.11764705882352938,2.3809523809523814,-1.825120890468056,-5.757664624556305
4,16,1513,0.0,159118173.83406118,7.204529898187539e-17,0.7142857142857143,-4.834988414795588,-0.6863113900681269
0,16,1514,0.0,42520312.4735146,7.204529898187539e-17,0.7142857142857143,-1.365073887620355,0.30465395536751455
3,16,1515,0.0,32054474.511278387,3.3805314394321577e-17,21.42857142857143,-0.9783941103119249,-4.633189763673687
2,16,1516,0.0,20000000000.0,0.0,0.0,-0.01934566810706195,-2.256656018663838
0,16,1517,0.0,15979073.602716183,7.204529898187539e-17,22.857142857142858,-3.383932627726567,-3.4931759643534344
3,16,1518,0.0,9275189.474219974,6.114666873769523e-17,15.714285714285715,-2.070048370546318,-3.7755520687996733
2,16,1519,0.0,8113913.323713779,3.3805314394321577e-17,21.42857142857143,-0.3971807327147386,-0.24284144004717848
