generation,cell_index,mi_count_bits,atp_per_spike_molecules,corner_label,share_soma,share_ais,share_dend
6,518,0.5083849954297467,18308495.330566354,low_mi_high_atp,0.44822591102196674,0.04158711330866927,0.510186975669364
6,519,0.0,9369796.58995352,low_mi_high_atp,0.8718487324029606,0.1100967588249083,0.018054508772131075
6,520,0.0039060116788910415,13468418.954612387,low_mi_high_atp,0.48070702032069446,0.0701813786512925,0.4491116010280131
6,522,0.0,20654019.620361853,low_mi_high_atp,0.4322158674388925,0.025954002680069286,0.5418301298810382
6,523,0.0,18553306.201073986,low_mi_high_atp,0.8257904174273073,0.036895639356146995,0.13731394321654575
6,526,0.0,12320333.133139998,low_mi_high_atp,0.9097263362828866,0.08876587051649704,0.0015077932006163912
6,529,0.0,13268999.96770555,low_mi_high_atp,0.6541327805948894,0.07798733043719108,0.2678798889679195
6,530,0.0,10086591.969658032,low_mi_high_atp,0.9586033655912335,0.041023225176820215,0.00037340923194637633
6,531,0.0,18226493.748623427,low_mi_high_atp,0.7094685668644126,0.02906725321563378,0.26146417991995363
6,539,0.0,15338221.464012992,low_mi_high_atp,0.7411368052209526,0.005965657708704781,0.2528975370703426
6,540,0.0,75709112.14854588,low_mi_high_atp,0.12785818652210573,0.002743179816004491,0.8693986336618897
6,542,0.0,9072873.323125876,low_mi_high_atp,0.9369880957969257,0.054715630180018134,0.00829627402305617
6,544,0.0,11522894.472997608,low_mi_high_atp,0.781647130906982,0.047386978321682774,0.1709658907713352
6,547,0.45060436423689204,61714318.16460569,low_mi_high_atp,0.1420663429292657,0.01765132139265653,0.8402823356780778
6,549,0.0,15491626.899479909,low_mi_high_atp,0.6140079674471404,0.06937999019136927,0.3166120423614904
6,551,0.0,11390814.685676811,low_mi_high_atp,0.9553589335579907,0.04077681300963137,0.0038642534323779184
6,552,0.0,88229625.65839896,low_mi_high_atp,0.08169371570976476,0.0015448068431984118,0.9167614774470367
6,554,0.0,9820311.362035003,low_mi_high_atp,0.9392673723514173,0.05048560387644086,0.010247023772141808
6,557,0.0,7026127.751674823,low_mi_high_atp,0.9467285039822537,0.05282182599412501,0.00044967002362136045
6,560,0.0,10209922.525360445,low_mi_high_atp,0.950745175714616,0.047433430966038956,0.0018213933193449556
6,561,0.0,40117430.91722785,low_mi_high_atp,0.17748304600655132,0.03279658683601434,0.7897203671574344
6,564,0.0,7535157.229521829,low_mi_high_atp,0.9342959868158361,0.0631197736274184,0.002584239556745467
6,565,0.0,7831100.080927306,low_mi_high_atp,0.8550520172293282,0.1447431803517264,0.00020480241894528346
6,567,0.0,10893057.91987334,low_mi_high_atp,0.9458941957580714,0.04770307559342291,0.006402728648505767
6,569,0.0,27419740.034643993,low_mi_high_atp,0.3603401286525155,0.023797703513132994,0.6158621678343514
6,570,0.0,17669289.33228928,low_mi_high_atp,0.7416851092705073,0.028376879711440994,0.22993801101805147
6,571,0.0,155091758.53807873,low_mi_high_atp,0.049533191157076946,0.002578843478828801,0.9478879653640943
6,572,0.0,9370678.94021027,low_mi_high_atp,0.9343516466410345,0.06336119788805906,0.0022871554709065008
6,573,0.0,7712896.972703887,low_mi_high_atp,0.8568270644103436,0.13764583028211858,0.005527105307537751
6,574,0.0,67391217.270036,low_mi_high_atp,0.0871966702523826,0.005796409275315587,0.9070069204723018
6,575,0.0,21474617.20494716,low_mi_high_atp,0.354453125764513,0.03908862567779901,0.6064582485576879
7,576,0.0,16326289.104761435,low_mi_high_atp,0.884181496136898,0.038804001748209964,0.07701450211489204
7,578,0.0,7522111.616081406,low_mi_high_atp,0.9264385968073943,0.07305534154711782,0.0005060616454878104
7,581,0.0,8812925.534470906,low_mi_high_atp,0.7104733513542821,0.043408602566318975,0.24611804607939897
7,583,0.0,12958003.478972286,low_mi_high_atp,0.8104351460544812,0.030234470496431486,0.1593303834490872
7,584,0.0,16823251.991433773,low_mi_high_atp,0.4651617593344032,0.05780928084977151,0.4770289598158252
7,586,0.0,12994702.672670295,low_mi_high_atp,0.9353903511365658,0.03770826040803001,0.026901388455404195
7,590,0.0,13328024.43384422,low_mi_high_atp,0.9591082259405436,0.03826639864984276,0.002625375409613757
7,591,0.0,8927359.73475983,low_mi_high_atp,0.9395429876947882,0.059967493060956924,0.0004895192442549222
7,595,0.0039060116788910415,48536539.431956545,low_mi_high_atp,0.18129955123388625,0.020451021134165404,0.7982494276319483
7,597,0.0,51704497.15083406,low_mi_high_atp,0.20998533869931324,0.009194352955890253,0.7808203083447965
7,600,0.0,9988681.37924876,low_mi_high_atp,0.9455770915558419,0.048467810266247434,0.005955098177910741
7,602,0.0,11007463.81388271,low_mi_high_atp,0.6175231218579799,0.04924442257360526,0.3332324555684148
7,604,0.0,30136336.27495691,low_mi_high_atp,0.2204990019516614,0.022728321609220375,0.7567726764391182
7,605,0.0,9777639.550370408,low_mi_high_atp,0.9486471187536684,0.049621587754313724,0.001731293492017862
7,606,0.0,12157029.835459359,low_mi_high_atp,0.8162504514070101,0.09409161157596478,0.08965793701702501
7,608,0.0,10582875.111790927,low_mi_high_atp,0.9286556720468351,0.06842975497602487,0.002914572977140031
7,610,0.0,8289056.717681093,low_mi_high_atp,0.9670656841487275,0.032248207822364656,0.0006861080289077946
7,612,0.0,7746470.611813224,low_mi_high_atp,0.8685426824600266,0.13044878776840718,0.001008529771566164
7,613,0.0,143236545.95083937,low_mi_high_atp,0.056248102414096196,0.005721608902076289,0.9380302886838274
