parameter,high_mi_low_atp,high_mi_high_atp,low_mi_low_atp,low_mi_high_atp
IM_GBAR,0.07770777863418811,0.667503304496126,0.005952131568532057,0.03351789081673917
SKAHP_GBAR_SOMA_AIS,-0.35262449344247054,-0.004910160301902267,0.13122736085983688,-0.0738091585949384
SKAHP_TAU_CA_MULTIPLIER,-0.7287722235947337,-0.32479564354902385,-0.24948145380582273,0.1689057838324539
RA_OHM_CM,0.6962505947131679,0.01681558343927606,0.46674017161962505,-0.3618589006440233
CM_UF_CM2,-0.23674649987810983,-0.21591954401371966,-0.022866300718651762,0.11634954081822411
GLEAK_S_CM2,0.33364215533797315,0.004382920145952187,-0.040630604162459255,-0.023351331996333848
CAD_DEPTH_UM,-0.6072987020546119,0.33569292459512157,-0.2538354964706261,0.24148589407976584
CAD_TAUR_MS,-0.5732171289300282,-0.46969606963714433,-0.4716092303952062,0.0880539352895448
N_ACH,0.3566413737996171,0.3501175128728924,0.15920286653664423,-0.10128618745903482
N_GABA,-0.16045572984785708,-0.05231406418527747,-0.32038205746772985,0.24464338129526864
RHO0_ACH,-0.2640500023810395,-0.04312014711457614,-0.14276586951362727,-0.09133145434899365
LAMBDA_ACH_UM,0.1440629854167319,0.23147781220559333,0.03454297841657867,0.15869819367108207
RHO0_GABA,0.2086320755122832,0.21360464809807722,0.24226777551906106,-0.2411922986564689
LAMBDA_GABA_UM,0.10730051718550242,0.25975301627603176,0.12492530506078083,0.024521067919113796
W_ACH_US,0.47887302096846396,0.23931031037227649,0.33675437501631666,-0.3850512789708187
W_GABA_US,-0.08284407723215982,-0.04606382402135452,-0.027693948273756146,0.19212994256542906
AIS_LENGTH_UM,-0.6777913726615645,-0.06984630157482903,-0.43977299440990836,0.3695411319999319
AIS_DIAMETER_UM,-0.05417301338996872,0.03138169005483918,-0.28430986411782094,0.27354678722465664
GNMDA_DEND,0.4891482137679057,0.49741752205300427,-0.021192832453223804,0.11301758646669048
MG_CONC_MM,0.5802804090451605,0.35510045948986196,0.13492819042524193,-0.018900667566797338
VOFF_NMDA,0.44765046035377215,0.14136132034537374,0.16312398524477426,0.04152773867656794
NAV16_DEND_DISTAL,0.2506634654082789,0.11855346527544769,-0.2094742953482218,-0.03687287077648003
NAP_DEND_DISTAL,0.081158486283174,-0.6439206874927113,0.1286675365975403,-0.30315992599946423
num_primary_branches,-0.06568685958494193,0.6072631451902343,-0.2043172285620327,0.34367586777356396
branch_prob_per_um,-0.06407431526038163,-0.07616642035386953,-0.21400165002230806,0.3531407434382482
max_strahler_depth,-0.32038150688770817,0.26015589883291995,-0.17881172982944984,0.16418226633578864
mean_branching_angle_deg,0.405435929428333,-0.4604218584578063,0.32333421326181805,-0.3674017896387033
rall_exponent,-0.3708752728339414,-0.22642900310983982,-0.034077496910879336,0.19441406675735048
soma_offset_pd_um,-0.4550721247870301,0.3277419496531974,-0.2782006690322655,0.07764349495388517
field_elongation_pd,0.5762474905239217,-0.2523473527898007,0.37389430241431043,-0.38011191636279384
branch_density_gradient_pd,-0.4302484241289945,-0.33473375561507374,-0.3916875656490707,0.46341527369497465
primary_branch_pd_concentration,0.30317642228429686,0.2624920511494945,0.22265954054665718,-0.09467858549078413
mean_segment_length_um,0.5783666918820975,0.23616943166911236,0.45222268519757264,-0.42444183605362285
soma_diameter_um,0.23071089221672822,-0.1629415277317143,0.2621280806039327,-0.13932889831449058
ais_length_um,-0.37262141301087554,-0.16413854811225406,-0.1552770918776316,0.17434715649294863
morph_seed,-0.3073083924141067,-0.007033669868087424,-0.3326098104794876,0.1332420017082032
branch_length_cv,-0.7033199959993345,0.23428351461942268,-0.45762392275012703,0.3815537169293141
__cell_count__,1221.0,343.0,341.0,1220.0
__mean_mi_count_bits__,0.983627812802673,0.7900632108115778,0.20992990344372478,0.06271169186417071
__mean_atp_per_spike_molecules__,5336273.298682167,16377965.874020798,5573538.679946051,26054020.39945577
__mean_dsi_vector_sum__,0.23744948852221942,0.16697341418604517,0.0997050801269896,0.015925379377718332
__mean_pd_rate_hz__,2.61027261027261,4.803554074691101,9.379276637341153,12.299570647931304
