parameter,mean_high_mi,std_high_mi,mean_low_mi,std_low_mi,mwu_p_mi,cliffs_delta_mi,mean_high_atp,std_high_atp,mean_low_atp,std_low_atp,mwu_p_atp,cliffs_delta_atp
NAP_SOMA_GBAR,0.2711296344278225,0.05174672292570558,0.31054166737299244,0.15624694874845593,0.02543569981140141,-0.06049798725579975,0.3280384265360178,0.16265948313884354,0.32728724884418514,0.1916172767413403,0.23437542616449447,0.03473126156945598
NAP_PRIMARY_GBAR,0.43261552049481233,0.1128320334692965,0.4136245826345361,0.2687946508474649,0.9043255349586043,-0.0032552083333333335,0.42050166150135315,0.2733558599277835,0.396064169695241,0.13660248311219558,3.397387699308848e-07,0.1489540884740419
NAP_MID_GBAR,0.1353322700575155,0.18701862159083188,0.33076665251279835,0.3184093898947067,8.919883162529028e-48,-0.39310992826617824,0.36240930931219334,0.27113594742010383,0.09805561747989815,0.15013649726315656,4.083415289947507e-128,0.7032822914554457
NAP_TERMINAL_GBAR,0.5384380140202099,0.288973790616715,0.6487537838086942,0.24684845881231135,4.2697447125127495e-19,-0.24173916361416362,0.6431355623105801,0.25268274656058853,0.4993749486327875,0.2921049509198675,1.5915940838198028e-22,0.2851989455851283
NAP_AIS_GBAR,0.5283644255731854,0.10842475345267548,0.5360160073236924,0.23835069308180484,3.4938227717051376e-06,-0.12559976915445664,0.491128825433085,0.2419421958253544,0.5467631671761758,0.08556073553152166,0.02137806263689398,-0.06721240703553745
BK_SOMA_GBAR,0.07495453667061844,0.1136178811949323,0.2618326653738976,0.25217976878051224,9.319216648018679e-80,-0.5119298019688645,0.3316800265932614,0.2857456617779694,0.04907206306567939,0.017298166289743983,2.2025721896559476e-144,0.7472576709990123
BK_PRIMARY_GBAR,0.7202338419102507,0.1844443430662122,0.5910722035591867,0.2841625525338639,3.4711895123474196e-22,0.2622112045940171,0.6214059616273399,0.2947061268913925,0.7063674483089813,0.1544667802557689,3.822982894683089e-06,-0.13495954369738555
BK_MID_GBAR,0.748796108070088,0.3048613956505694,0.6195286204758013,0.33207812907107515,4.3286242523760255e-18,0.23470767513736263,0.5711544849995035,0.33358526356973744,0.8155521916581088,0.25832723225330195,3.9537526467767575e-48,-0.42573472177706845
BK_TERMINAL_GBAR,0.6600267736782338,0.0583926386618949,0.6262829676560846,0.18452148258519901,0.001999819753855861,0.08365885416666667,0.6340951670039578,0.2134418559759315,0.6387356824390638,0.05141706769161209,3.8435326334794515e-05,0.12023240298009563
BK_AIS_GBAR,0.753799541578521,0.08825814525220121,0.7583062324661078,0.18755952606179532,1.7709418291735866e-08,-0.15248683608058608,0.731331653637901,0.19160669479589357,0.757099114317684,0.09851113827402946,0.14106203111591956,0.0429876832307481
SK_SOMA_GBAR,0.882546829576647,0.19641077385716624,0.618248079764868,0.36120330365846604,8.045450105839415e-29,0.3015706082112332,0.704538081179461,0.3235981031971016,0.8811725145714623,0.2495543396021375,1.283901236607745e-07,-0.1542441506792865
SK_PRIMARY_GBAR,0.6417840345253722,0.20444123704544645,0.5538483877635594,0.2466960693369402,2.1011062580094228e-11,0.1813496833028083,0.564740003560197,0.25288275294102797,0.6243965474593874,0.22851022321334785,8.804522236515198e-06,-0.12981338426619396
SK_MID_GBAR,0.5266267229031456,0.342506454650323,0.5175530819195042,0.2843912381087935,0.7026021072473776,-0.010336776938339438,0.5853595475961451,0.2854572656542929,0.4967875488259678,0.31667327397699785,3.947602765221883e-10,0.1827025595070676
SK_TERMINAL_GBAR,0.11224099946274058,0.12138638317755296,0.2614408764776382,0.22699550398620322,1.5320231544021688e-48,-0.39634725083943834,0.268615066333204,0.23703079466901625,0.10110170359490424,0.10050001619017881,3.957452439775376e-47,0.4211053041254309
SK_AIS_GBAR,0.9618044074257052,0.11157967527247958,0.7931981610485778,0.2357789108543894,2.2828456456403988e-120,0.6315294948107448,0.765518840181678,0.2551993486758517,0.9644480093775102,0.07663903686883401,4.158151067956105e-121,-0.6834318849301091
KDR_GBAR,0.01934658514338355,0.05999767533170437,0.16898849917914305,0.1817853714948683,1.742335472754341e-134,-0.6681416456807082,0.18622437011092838,0.17399473846833657,0.007323358807353976,0.006331196322654263,4.411706799955071e-167,0.8046323611174705
KV4_GBAR,0.3496946519411376,0.04757539926269999,0.2832820792113251,0.10260524444383151,1.536020682958227e-33,0.32671560210622713,0.2641927293783022,0.11032137528795095,0.3586791347875285,0.029348215463695624,2.5314047510897587e-67,-0.5062973816236157
NAR_GBAR,0.13163930310022506,0.02042928477856743,0.2150700554105931,0.1321752392143259,1.41826923900907e-09,-0.16387171855921856,0.241039572477043,0.15132067815591826,0.13712388509652204,0.03501157267673694,2.1103399328380836e-15,0.23174397080081893
IH_GBAR,0.003925856658865808,0.0012746826467297666,0.1242118460081012,0.10485507826700934,3.519967984995437e-185,-0.7856713598901099,0.10588593656538185,0.11246492040840496,0.010019095353225429,0.024302895770369853,1.4848023365539438e-83,0.56562293548577
CAL_GBAR,0.21039657774692802,0.0923599190952601,0.26203484223323803,0.15352900354158505,3.398349228489922e-14,-0.20526294452075702,0.26166500712365026,0.16042506891782002,0.19770041772420982,0.08214720106181503,2.4702768354544817e-12,0.20458722797469928
