strategy,compute_mode,tier,parameterisation,cost_mult,sample_mult,usd_scaled
RANDOM,SURROGATE_NN_GPU,A100 40GB,tight,0.5,2.0,40.64
RANDOM,SURROGATE_NN_GPU,A100 40GB,tight,1.0,0.5,81.28
RANDOM,SURROGATE_NN_GPU,A100 40GB,tight,1.0,1.0,81.28
RANDOM,SURROGATE_NN_GPU,A100 40GB,tight,1.0,2.0,81.28
RANDOM,SURROGATE_NN_GPU,A100 40GB,tight,2.0,0.5,162.56
RANDOM,SURROGATE_NN_GPU,A100 40GB,tight,2.0,1.0,162.56
RANDOM,SURROGATE_NN_GPU,A100 40GB,tight,2.0,2.0,162.56
RANDOM,SURROGATE_NN_GPU,H100,tight,0.5,0.5,55.42
RANDOM,SURROGATE_NN_GPU,H100,tight,0.5,1.0,55.42
RANDOM,SURROGATE_NN_GPU,H100,tight,0.5,2.0,55.42
RANDOM,SURROGATE_NN_GPU,H100,tight,1.0,0.5,110.83
RANDOM,SURROGATE_NN_GPU,H100,tight,1.0,1.0,110.83
RANDOM,SURROGATE_NN_GPU,H100,tight,1.0,2.0,110.83
RANDOM,SURROGATE_NN_GPU,H100,tight,2.0,0.5,221.67
RANDOM,SURROGATE_NN_GPU,H100,tight,2.0,1.0,221.67
RANDOM,SURROGATE_NN_GPU,H100,tight,2.0,2.0,221.67
RANDOM,MANY_CORE_CPU,CPU-96,tight,0.5,0.5,0.88
RANDOM,MANY_CORE_CPU,CPU-96,tight,0.5,1.0,1.75
RANDOM,MANY_CORE_CPU,CPU-96,tight,0.5,2.0,3.5
RANDOM,MANY_CORE_CPU,CPU-96,tight,1.0,0.5,1.75
RANDOM,MANY_CORE_CPU,CPU-96,tight,1.0,1.0,3.5
RANDOM,MANY_CORE_CPU,CPU-96,tight,1.0,2.0,7.0
RANDOM,MANY_CORE_CPU,CPU-96,tight,2.0,0.5,3.5
RANDOM,MANY_CORE_CPU,CPU-96,tight,2.0,1.0,7.0
RANDOM,MANY_CORE_CPU,CPU-96,tight,2.0,2.0,14.0
CMA_ES,CORENEURON_GPU,RTX 4090,tight,0.5,0.5,8.53
CMA_ES,CORENEURON_GPU,RTX 4090,tight,0.5,1.0,17.06
CMA_ES,CORENEURON_GPU,RTX 4090,tight,0.5,2.0,34.12
CMA_ES,CORENEURON_GPU,RTX 4090,tight,1.0,0.5,17.06
CMA_ES,CORENEURON_GPU,RTX 4090,tight,1.0,1.0,34.12
CMA_ES,CORENEURON_GPU,RTX 4090,tight,1.0,2.0,68.25
CMA_ES,CORENEURON_GPU,RTX 4090,tight,2.0,0.5,34.12
CMA_ES,CORENEURON_GPU,RTX 4090,tight,2.0,1.0,68.25
CMA_ES,CORENEURON_GPU,RTX 4090,tight,2.0,2.0,136.5
CMA_ES,CORENEURON_GPU,A100 40GB,tight,0.5,0.5,16.68
CMA_ES,CORENEURON_GPU,A100 40GB,tight,0.5,1.0,33.37
CMA_ES,CORENEURON_GPU,A100 40GB,tight,0.5,2.0,66.73
CMA_ES,CORENEURON_GPU,A100 40GB,tight,1.0,0.5,33.37
CMA_ES,CORENEURON_GPU,A100 40GB,tight,1.0,1.0,66.73
CMA_ES,CORENEURON_GPU,A100 40GB,tight,1.0,2.0,133.47
CMA_ES,CORENEURON_GPU,A100 40GB,tight,2.0,0.5,66.73
CMA_ES,CORENEURON_GPU,A100 40GB,tight,2.0,1.0,133.47
CMA_ES,CORENEURON_GPU,A100 40GB,tight,2.0,2.0,266.93
CMA_ES,CORENEURON_GPU,H100,tight,0.5,0.5,22.75
CMA_ES,CORENEURON_GPU,H100,tight,0.5,1.0,45.5
CMA_ES,CORENEURON_GPU,H100,tight,0.5,2.0,91.0
CMA_ES,CORENEURON_GPU,H100,tight,1.0,0.5,45.5
CMA_ES,CORENEURON_GPU,H100,tight,1.0,1.0,91.0
CMA_ES,CORENEURON_GPU,H100,tight,1.0,2.0,182.0
CMA_ES,CORENEURON_GPU,H100,tight,2.0,0.5,91.0
CMA_ES,CORENEURON_GPU,H100,tight,2.0,1.0,182.0
CMA_ES,CORENEURON_GPU,H100,tight,2.0,2.0,364.0
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,0.5,0.5,20.78
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,0.5,1.0,20.78
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,0.5,2.0,20.78
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,1.0,0.5,41.56
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,1.0,1.0,41.56
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,1.0,2.0,41.56
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,2.0,0.5,83.12
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,2.0,1.0,83.12
CMA_ES,SURROGATE_NN_GPU,RTX 4090,tight,2.0,2.0,83.12
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,0.5,0.5,40.64
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,0.5,1.0,40.64
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,0.5,2.0,40.64
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,1.0,0.5,81.28
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,1.0,1.0,81.28
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,1.0,2.0,81.28
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,2.0,0.5,162.56
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,2.0,1.0,162.56
CMA_ES,SURROGATE_NN_GPU,A100 40GB,tight,2.0,2.0,162.56
CMA_ES,SURROGATE_NN_GPU,H100,tight,0.5,0.5,55.42
CMA_ES,SURROGATE_NN_GPU,H100,tight,0.5,1.0,55.42
CMA_ES,SURROGATE_NN_GPU,H100,tight,0.5,2.0,55.42
CMA_ES,SURROGATE_NN_GPU,H100,tight,1.0,0.5,110.83
CMA_ES,SURROGATE_NN_GPU,H100,tight,1.0,1.0,110.83
CMA_ES,SURROGATE_NN_GPU,H100,tight,1.0,2.0,110.83
CMA_ES,SURROGATE_NN_GPU,H100,tight,2.0,0.5,221.67
CMA_ES,SURROGATE_NN_GPU,H100,tight,2.0,1.0,221.67
CMA_ES,SURROGATE_NN_GPU,H100,tight,2.0,2.0,221.67
CMA_ES,MANY_CORE_CPU,CPU-96,tight,0.5,0.5,0.57
CMA_ES,MANY_CORE_CPU,CPU-96,tight,0.5,1.0,1.14
CMA_ES,MANY_CORE_CPU,CPU-96,tight,0.5,2.0,2.28
CMA_ES,MANY_CORE_CPU,CPU-96,tight,1.0,0.5,1.14
CMA_ES,MANY_CORE_CPU,CPU-96,tight,1.0,1.0,2.28
CMA_ES,MANY_CORE_CPU,CPU-96,tight,1.0,2.0,4.55
CMA_ES,MANY_CORE_CPU,CPU-96,tight,2.0,0.5,2.28
CMA_ES,MANY_CORE_CPU,CPU-96,tight,2.0,1.0,4.55
CMA_ES,MANY_CORE_CPU,CPU-96,tight,2.0,2.0,9.1
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,0.5,0.5,3.28
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,0.5,1.0,6.56
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,0.5,2.0,13.12
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,1.0,0.5,6.56
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,1.0,1.0,13.12
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,1.0,2.0,26.25
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,2.0,0.5,13.12
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,2.0,1.0,26.25
BAYESIAN,CORENEURON_GPU,RTX 4090,tight,2.0,2.0,52.5
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,0.5,0.5,6.42
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,0.5,1.0,12.83
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,0.5,2.0,25.67
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,1.0,0.5,12.83
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,1.0,1.0,25.67
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,1.0,2.0,51.33
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,2.0,0.5,25.67
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,2.0,1.0,51.33
BAYESIAN,CORENEURON_GPU,A100 40GB,tight,2.0,2.0,102.67
BAYESIAN,CORENEURON_GPU,H100,tight,0.5,0.5,8.75
BAYESIAN,CORENEURON_GPU,H100,tight,0.5,1.0,17.5
BAYESIAN,CORENEURON_GPU,H100,tight,0.5,2.0,35.0
BAYESIAN,CORENEURON_GPU,H100,tight,1.0,0.5,17.5
BAYESIAN,CORENEURON_GPU,H100,tight,1.0,1.0,35.0
BAYESIAN,CORENEURON_GPU,H100,tight,1.0,2.0,70.0
BAYESIAN,CORENEURON_GPU,H100,tight,2.0,0.5,35.0
BAYESIAN,CORENEURON_GPU,H100,tight,2.0,1.0,70.0
BAYESIAN,CORENEURON_GPU,H100,tight,2.0,2.0,140.0
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,0.5,0.5,20.78
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,0.5,1.0,20.78
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,0.5,2.0,20.78
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,1.0,0.5,41.56
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,1.0,1.0,41.56
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,1.0,2.0,41.56
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,2.0,0.5,83.12
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,2.0,1.0,83.12
BAYESIAN,SURROGATE_NN_GPU,RTX 4090,tight,2.0,2.0,83.12
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,0.5,0.5,40.64
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,0.5,1.0,40.64
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,0.5,2.0,40.64
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,1.0,0.5,81.28
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,1.0,1.0,81.28
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,1.0,2.0,81.28
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,2.0,0.5,162.56
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,2.0,1.0,162.56
BAYESIAN,SURROGATE_NN_GPU,A100 40GB,tight,2.0,2.0,162.56
BAYESIAN,SURROGATE_NN_GPU,H100,tight,0.5,0.5,55.42
BAYESIAN,SURROGATE_NN_GPU,H100,tight,0.5,1.0,55.42
BAYESIAN,SURROGATE_NN_GPU,H100,tight,0.5,2.0,55.42
BAYESIAN,SURROGATE_NN_GPU,H100,tight,1.0,0.5,110.83
BAYESIAN,SURROGATE_NN_GPU,H100,tight,1.0,1.0,110.83
BAYESIAN,SURROGATE_NN_GPU,H100,tight,1.0,2.0,110.83
BAYESIAN,SURROGATE_NN_GPU,H100,tight,2.0,0.5,221.67
BAYESIAN,SURROGATE_NN_GPU,H100,tight,2.0,1.0,221.67
BAYESIAN,SURROGATE_NN_GPU,H100,tight,2.0,2.0,221.67
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,0.5,0.5,0.21
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,0.5,1.0,0.44
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,0.5,2.0,0.88
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,1.0,0.5,0.42
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,1.0,1.0,0.88
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,1.0,2.0,1.75
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,2.0,0.5,0.83
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,2.0,1.0,1.75
BAYESIAN,MANY_CORE_CPU,CPU-96,tight,2.0,2.0,3.5
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,0.5,0.5,121.41
SURROGATE_NN_GA,CORENEURON_GPU,RTX 4090,tight,0.5,1.0,242.81
