cluster_id,source_task,seed,generation,individual_idx,dsi_vector_sum,pd_rate_hz,pc1_combined,pc2_combined
0,t0106_long_pdnd_nsga2_300gen,44,1,71,0.0,0.7142857142857143,-4.906410375921349,-3.677509730491925
0,t0106_long_pdnd_nsga2_300gen,44,1,72,0.0,0.7142857142857143,-2.639698916484204,-1.8673894881897453
0,t0106_long_pdnd_nsga2_300gen,44,1,73,0.0,0.7142857142857143,-0.7912661153513899,-1.6957495200015973
0,t0106_long_pdnd_nsga2_300gen,44,1,74,0.0,0.7142857142857143,0.10244004863339867,-3.4660899646732397
3,t0106_long_pdnd_nsga2_300gen,44,1,75,0.0,0.0,-0.721974171030593,-0.18640449819502594
0,t0106_long_pdnd_nsga2_300gen,44,1,76,0.0,0.0,-5.27055498832333,-2.850130009102553
0,t0106_long_pdnd_nsga2_300gen,44,1,77,0.0,0.0,-1.4439082882743663,-2.3114645034330583
0,t0106_long_pdnd_nsga2_300gen,44,1,78,0.0,0.0,-2.593747959278713,-2.6860591166129963
0,t0106_long_pdnd_nsga2_300gen,44,1,79,0.0,0.0,-0.32154027735977614,-1.5618190307272337
0,t0106_long_pdnd_nsga2_300gen,44,1,80,0.0,0.0,-2.868531238841533,-4.3981340040312356
0,t0106_long_pdnd_nsga2_300gen,44,1,81,0.0,0.0,-1.8172219675815893,-1.722923528379292
0,t0106_long_pdnd_nsga2_300gen,44,1,82,0.0,0.0,-2.541384657273138,-0.7693671454273702
0,t0106_long_pdnd_nsga2_300gen,44,1,83,0.0,0.0,-2.150079414779963,-2.239135243021228
0,t0106_long_pdnd_nsga2_300gen,44,1,84,0.0,0.0,-1.9034253780653225,-3.4403889459283454
0,t0106_long_pdnd_nsga2_300gen,44,1,85,0.0,0.0,-3.361806129726655,-1.8819280797669093
0,t0106_long_pdnd_nsga2_300gen,44,1,86,0.0,0.0,-2.96342086633335,-3.4371681281346382
0,t0106_long_pdnd_nsga2_300gen,44,1,87,0.0,0.0,-1.25308246441294,0.6023411063659257
0,t0106_long_pdnd_nsga2_300gen,44,1,88,0.0,0.0,-4.329425786877549,-1.2791531007066732
0,t0106_long_pdnd_nsga2_300gen,44,1,89,0.0,0.0,-3.3266806141937155,-2.7534027915548904
0,t0106_long_pdnd_nsga2_300gen,44,1,90,0.0,0.0,0.12900169045636614,-0.8404565729255452
0,t0106_long_pdnd_nsga2_300gen,44,1,91,0.0,0.0,0.32047987194545063,-3.215966685332503
0,t0106_long_pdnd_nsga2_300gen,44,1,92,0.0,0.0,-1.9575541215361287,0.22704569459862023
3,t0106_long_pdnd_nsga2_300gen,44,1,93,0.0,0.0,-0.35514246380990405,-3.0412228609662937
0,t0106_long_pdnd_nsga2_300gen,44,1,94,0.0,0.0,-2.3136198182844536,-0.8821697598145546
0,t0106_long_pdnd_nsga2_300gen,44,1,95,0.0,0.0,-4.171405451979532,-2.0393681106560093
0,t0106_long_pdnd_nsga2_300gen,44,2,98,6.123233995736766e-17,25.714285714285715,-1.3166935473868062,-0.0328543200528577
0,t0106_long_pdnd_nsga2_300gen,44,2,99,0.006993006993006968,16.904761904761905,-3.013314874607116,1.5252839640107774
0,t0106_long_pdnd_nsga2_300gen,44,2,100,0.008403361344537784,14.285714285714286,-0.5469174262844461,-1.2440792796020772
0,t0106_long_pdnd_nsga2_300gen,44,2,102,6.123233995736766e-17,22.142857142857146,-2.2745613830514255,-2.35529406622703
1,t0106_long_pdnd_nsga2_300gen,44,2,103,6.123233995736766e-17,19.28571428571429,-2.965975576394771,2.2473840063600368
0,t0106_long_pdnd_nsga2_300gen,44,2,104,6.123233995736766e-17,19.28571428571429,-1.2801817503662576,-1.9035152603906655
0,t0106_long_pdnd_nsga2_300gen,44,2,105,6.123233995736766e-17,18.571428571428573,-1.526264202331465,-1.29347107628458
0,t0106_long_pdnd_nsga2_300gen,44,2,107,6.123233995736766e-17,15.000000000000002,-2.4375679604538196,-0.3443968602504632
0,t0106_long_pdnd_nsga2_300gen,44,2,108,6.123233995736766e-17,14.761904761904765,-3.8680826817292604,-0.6701439613729888
0,t0106_long_pdnd_nsga2_300gen,44,2,112,6.123233995736766e-17,9.285714285714286,-3.6537197430643715,-2.211276274670046
0,t0106_long_pdnd_nsga2_300gen,44,2,114,6.123233995736766e-17,7.857142857142858,-2.9144568549523338,1.1281450979254972
0,t0106_long_pdnd_nsga2_300gen,44,2,115,6.123233995736766e-17,7.142857142857143,-0.9862122151511115,-2.704625140129736
0,t0106_long_pdnd_nsga2_300gen,44,2,117,6.123233995736766e-17,5.714285714285714,-1.3232555401858626,-0.7093215067931291
