condition_id,channel_kind,density_label,density_ms_cm2,angle_deg,trial_seed,trial_mode,n_spikes,firing_rate_hz,peak_vm_mv,baseline_vm_mv,is_unstable
kv4_med,Kv4,med,12.0,270.0,3,FULL,19,19.0,43.59137239892292,-59.376238205111804,False
kv4_med,Kv4,med,12.0,270.0,4,FULL,17,17.0,43.334497904092046,-59.48035782208165,False
kv4_med,Kv4,med,12.0,270.0,5,FULL,19,19.0,43.575836210160666,-59.56449542749821,False
kv4_med,Kv4,med,12.0,300.0,1,FULL,17,17.0,43.23546776364002,-59.77766206335102,False
kv4_med,Kv4,med,12.0,300.0,2,FULL,15,15.0,43.536668004925076,-59.72436193100937,False
kv4_med,Kv4,med,12.0,300.0,3,FULL,15,15.0,43.80145459019314,-59.78733075344961,False
kv4_med,Kv4,med,12.0,300.0,4,FULL,15,15.0,43.70962000692066,-59.82054654044408,False
kv4_med,Kv4,med,12.0,300.0,5,FULL,17,17.0,43.91105489934593,-59.868278025756844,False
kv4_med,Kv4,med,12.0,330.0,1,FULL,19,19.0,43.326213465544015,-59.769299224090936,False
kv4_med,Kv4,med,12.0,330.0,2,FULL,17,17.0,43.603348703243356,-59.71215895101428,False
kv4_med,Kv4,med,12.0,330.0,3,FULL,13,13.0,42.3900607852735,-59.81010596489196,False
kv4_med,Kv4,med,12.0,330.0,4,FULL,16,16.0,43.27523468102394,-59.7829971799223,False
kv4_med,Kv4,med,12.0,330.0,5,FULL,15,15.0,43.75300360059595,-59.85167024162034,False
kv4_high,Kv4,high,36.0,0.0,1,FULL,16,16.0,44.1034063266091,-58.95348396634996,False
kv4_high,Kv4,high,36.0,0.0,2,FULL,11,11.0,42.7899611273294,-59.075451098628875,False
kv4_high,Kv4,high,36.0,0.0,3,FULL,14,14.0,43.772231779405324,-59.101024056342965,False
kv4_high,Kv4,high,36.0,0.0,4,FULL,14,14.0,42.85850651834449,-59.0662415539619,False
kv4_high,Kv4,high,36.0,0.0,5,FULL,16,16.0,43.566881106424404,-59.19979469669494,False
kv4_high,Kv4,high,36.0,30.0,1,FULL,10,10.0,43.92944908012669,-43.37020506335057,False
kv4_high,Kv4,high,36.0,30.0,2,FULL,15,15.0,43.80309611625758,-43.27645652138282,False
kv4_high,Kv4,high,36.0,30.0,3,FULL,14,14.0,44.090619604660944,-43.67592037480043,False
kv4_high,Kv4,high,36.0,30.0,4,FULL,13,13.0,43.70293925794557,-43.81673859334605,False
kv4_high,Kv4,high,36.0,30.0,5,FULL,15,15.0,43.59930219617999,-43.60131637404432,False
kv4_high,Kv4,high,36.0,60.0,1,FULL,9,9.0,43.69925465568908,-36.085664044930994,False
kv4_high,Kv4,high,36.0,60.0,2,FULL,7,7.0,43.91579135506473,-36.33276471690638,False
kv4_high,Kv4,high,36.0,60.0,3,FULL,8,8.0,43.357267948658375,-36.337666047006614,False
kv4_high,Kv4,high,36.0,60.0,4,FULL,12,12.0,43.87668631286221,-36.06212911844844,False
kv4_high,Kv4,high,36.0,60.0,5,FULL,11,11.0,43.518439658015474,-36.386529485032064,False
kv4_high,Kv4,high,36.0,90.0,1,FULL,10,10.0,43.31516868463464,-35.701590314738525,False
kv4_high,Kv4,high,36.0,90.0,2,FULL,7,7.0,44.176544806667316,-36.235227812714605,False
kv4_high,Kv4,high,36.0,90.0,3,FULL,9,9.0,44.2050588509027,-36.39111670992336,False
kv4_high,Kv4,high,36.0,90.0,4,FULL,10,10.0,42.96662222834156,-36.03344937378729,False
