gnmda_ns,angle_deg,synapse_index,onset_time_ms
0.000000,90,59,133.4150
0.000000,90,60,104.5850
0.000000,90,61,130.7850
0.000000,90,62,116.8550
0.000000,90,63,100.0000
0.000000,90,64,119.9750
0.000000,90,65,112.7400
0.000000,90,66,127.6600
0.000000,90,67,100.0000
0.000000,90,68,115.5100
0.000000,90,69,111.2750
0.000000,90,70,109.4350
0.000000,90,71,100.0000
0.000000,90,72,106.5750
0.000000,90,73,100.0000
0.000000,90,74,100.0000
0.000000,90,75,107.3150
0.000000,90,76,102.4450
0.000000,90,77,100.0000
0.000000,90,78,100.0000
0.000000,90,79,100.0000
0.000000,90,80,100.0000
0.000000,90,81,100.0000
0.000000,90,82,100.0000
0.000000,90,83,100.0000
0.000000,90,84,108.7900
0.000000,90,85,100.0000
0.000000,90,86,100.0000
0.000000,90,87,100.0000
0.000000,90,88,114.4750
0.000000,90,89,100.0000
0.000000,90,90,100.0000
0.000000,90,91,100.0000
0.000000,90,92,108.1200
0.000000,90,93,100.0000
0.000000,90,94,100.0000
0.000000,90,95,100.0000
0.000000,90,96,118.9600
0.000000,90,97,100.0000
0.000000,90,98,100.0000
0.000000,90,99,100.0000
0.000000,120,0,100.0000
0.000000,120,1,100.0000
0.000000,120,2,123.8586
0.000000,120,3,111.7464
0.000000,120,4,100.0000
0.000000,120,5,100.0000
0.000000,120,6,100.0000
0.000000,120,7,100.0000
0.000000,120,8,100.0000
0.000000,120,9,100.0000
0.000000,120,10,100.0000
0.000000,120,11,100.1117
0.000000,120,12,100.0000
0.000000,120,13,122.3131
0.000000,120,14,100.0000
0.000000,120,15,124.3499
0.000000,120,16,100.0000
0.000000,120,17,100.0000
0.000000,120,18,113.8011
0.000000,120,19,100.0000
0.000000,120,20,119.7302
0.000000,120,21,110.2867
0.000000,120,22,101.9291
0.000000,120,23,100.0000
0.000000,120,24,100.0000
0.000000,120,25,108.2250
0.000000,120,26,101.7983
0.000000,120,27,100.0000
0.000000,120,28,100.0000
0.000000,120,29,100.0000
0.000000,120,30,100.0000
0.000000,120,31,101.3138
0.000000,120,32,111.5490
0.000000,120,33,100.0000
0.000000,120,34,100.0000
0.000000,120,35,115.4796
0.000000,120,36,100.0000
0.000000,120,37,100.0000
0.000000,120,38,100.0000
0.000000,120,39,106.8729
0.000000,120,40,100.0000
0.000000,120,41,109.0819
0.000000,120,42,100.0000
0.000000,120,43,102.0614
0.000000,120,44,100.0000
0.000000,120,45,100.0000
0.000000,120,46,110.5468
0.000000,120,47,100.0000
0.000000,120,48,116.8404
0.000000,120,49,100.0000
0.000000,120,50,100.0000
0.000000,120,51,103.4810
0.000000,120,52,100.0000
0.000000,120,53,125.4575
0.000000,120,54,102.4551
0.000000,120,55,121.4056
0.000000,120,56,100.0000
0.000000,120,57,100.0000
0.000000,120,58,111.5752
0.000000,120,59,125.8257
0.000000,120,60,100.0000
0.000000,120,61,125.2106
0.000000,120,62,114.7044
0.000000,120,63,100.0000
0.000000,120,64,113.1014
0.000000,120,65,101.3582
0.000000,120,66,127.1518
0.000000,120,67,100.0000
0.000000,120,68,104.6296
0.000000,120,69,109.6019
0.000000,120,70,101.2859
0.000000,120,71,100.0000
0.000000,120,72,100.0000
0.000000,120,73,100.0000
0.000000,120,74,100.0000
0.000000,120,75,100.0000
0.000000,120,76,100.0000
0.000000,120,77,100.0540
0.000000,120,78,100.0000
0.000000,120,79,100.0000
0.000000,120,80,100.0000
0.000000,120,81,100.0000
0.000000,120,82,100.0000
0.000000,120,83,100.0000
0.000000,120,84,100.0000
0.000000,120,85,100.0000
0.000000,120,86,100.0000
0.000000,120,87,100.0000
0.000000,120,88,113.8682
0.000000,120,89,100.0000
