gnmda_ns,angle_deg,trial_seed,firing_rate_hz
0.250000,180,6008,6.000000
0.250000,180,6009,6.000000
0.250000,180,6010,6.000000
0.250000,210,7001,6.000000
0.250000,210,7002,6.000000
0.250000,210,7003,6.000000
0.250000,210,7004,6.000000
0.250000,210,7005,6.000000
0.250000,210,7006,6.000000
0.250000,210,7007,6.000000
0.250000,210,7008,6.000000
0.250000,210,7009,6.000000
0.250000,210,7010,6.000000
0.250000,240,8001,6.000000
0.250000,240,8002,6.000000
0.250000,240,8003,6.000000
0.250000,240,8004,6.000000
0.250000,240,8005,6.000000
0.250000,240,8006,6.000000
0.250000,240,8007,6.000000
0.250000,240,8008,6.000000
0.250000,240,8009,6.000000
0.250000,240,8010,6.000000
0.250000,270,9001,7.333333
0.250000,270,9002,7.333333
0.250000,270,9003,7.333333
0.250000,270,9004,7.333333
0.250000,270,9005,7.333333
0.250000,270,9006,7.333333
0.250000,270,9007,7.333333
0.250000,270,9008,7.333333
0.250000,270,9009,7.333333
0.250000,270,9010,7.333333
0.250000,300,10001,7.333333
0.250000,300,10002,7.333333
0.250000,300,10003,7.333333
0.250000,300,10004,7.333333
0.250000,300,10005,7.333333
0.250000,300,10006,7.333333
0.250000,300,10007,7.333333
0.250000,300,10008,7.333333
0.250000,300,10009,7.333333
0.250000,300,10010,7.333333
0.250000,330,11001,8.000000
0.250000,330,11002,8.000000
0.250000,330,11003,8.000000
0.250000,330,11004,8.000000
0.250000,330,11005,8.000000
0.250000,330,11006,8.000000
0.250000,330,11007,8.000000
0.250000,330,11008,8.000000
0.250000,330,11009,8.000000
0.250000,330,11010,8.000000
0.500000,0,1,6.000000
0.500000,0,2,6.000000
0.500000,0,3,6.000000
0.500000,0,4,6.000000
0.500000,0,5,6.000000
0.500000,0,6,6.000000
0.500000,0,7,6.000000
0.500000,0,8,6.000000
0.500000,0,9,6.000000
0.500000,0,10,6.000000
0.500000,30,1001,6.666667
0.500000,30,1002,6.666667
0.500000,30,1003,6.666667
0.500000,30,1004,6.666667
0.500000,30,1005,6.666667
0.500000,30,1006,6.666667
0.500000,30,1007,6.666667
0.500000,30,1008,6.666667
0.500000,30,1009,6.666667
0.500000,30,1010,6.666667
0.500000,60,2001,6.666667
0.500000,60,2002,6.666667
0.500000,60,2003,6.666667
0.500000,60,2004,6.666667
0.500000,60,2005,6.666667
0.500000,60,2006,6.666667
0.500000,60,2007,6.666667
0.500000,60,2008,6.666667
0.500000,60,2009,6.666667
0.500000,60,2010,6.666667
0.500000,90,3001,6.666667
0.500000,90,3002,6.666667
0.500000,90,3003,6.666667
0.500000,90,3004,6.666667
0.500000,90,3005,6.666667
0.500000,90,3006,6.666667
0.500000,90,3007,6.666667
0.500000,90,3008,6.666667
0.500000,90,3009,6.666667
0.500000,90,3010,6.666667
0.500000,120,4001,7.333333
0.500000,120,4002,7.333333
0.500000,120,4003,7.333333
0.500000,120,4004,7.333333
0.500000,120,4005,7.333333
0.500000,120,4006,7.333333
0.500000,120,4007,7.333333
0.500000,120,4008,7.333333
0.500000,120,4009,7.333333
0.500000,120,4010,7.333333
