gnmda_ns,angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
0.500000,30,1009,1744,268.0137,-53.2901
0.500000,30,1009,1752,268.3534,-55.0902
0.500000,30,1009,1760,268.6932,-56.4381
0.500000,30,1009,1768,269.0329,-57.4106
0.500000,30,1009,1776,269.5945,-58.3937
0.500000,30,1009,1784,271.3567,-58.7611
0.500000,30,1009,1792,273.7000,-57.1190
0.500000,30,1009,1800,275.8235,-55.0708
0.500000,30,1009,1808,276.4093,-54.3827
0.500000,30,1009,1816,276.9951,-53.5717
0.500000,30,1009,1824,277.5809,-52.5600
0.500000,30,1009,1832,278.1668,-51.1022
0.500000,30,1009,1840,278.5975,-49.3617
0.500000,30,1009,1848,278.9422,-46.9204
0.500000,30,1009,1856,279.2230,-42.9810
0.500000,30,1009,1864,279.4803,-35.3075
0.500000,30,1009,1872,279.6669,-26.3997
0.500000,30,1009,1880,279.8535,-17.1004
0.500000,30,1009,1888,280.0664,-8.7430
0.500000,30,1009,1896,280.5031,-1.0755
0.500000,30,1009,1904,281.2359,-7.3229
0.500000,30,1009,1912,282.3597,-28.5271
0.500000,30,1009,1920,283.4836,-43.7474
0.500000,30,1009,1928,284.2498,-51.2636
0.500000,30,1009,1936,284.8289,-55.3001
0.500000,30,1009,1944,285.3264,-57.5667
0.500000,30,1009,1952,286.5136,-59.9938
0.500000,30,1009,1960,288.7034,-59.9360
0.500000,30,1009,1968,290.8933,-58.4542
0.500000,30,1009,1976,293.0831,-56.7539
0.500000,30,1009,1984,294.6571,-55.3686
0.500000,30,1009,1992,295.2045,-54.7948
0.500000,30,1009,2000,295.7520,-54.1304
0.500000,30,1009,2008,296.2994,-53.3050
0.500000,30,1009,2016,296.7195,-52.4759
0.500000,30,1009,2024,297.0251,-51.6793
0.500000,30,1009,2032,297.2875,-50.7733
0.500000,30,1009,2040,297.5499,-49.5000
0.500000,30,1009,2048,297.8122,-47.5086
0.500000,30,1009,2056,298.0746,-43.7832
0.500000,30,1009,2064,298.3369,-35.5024
0.500000,30,1009,2072,298.5389,-24.8396
0.500000,30,1009,2080,298.7208,-15.1235
0.500000,30,1009,2088,298.9518,-5.7901
0.500000,30,1009,2096,299.3715,1.4414
0.500000,30,1009,2104,300.1434,-6.0249
0.500000,30,1009,2112,300.9628,-22.6775
0.500000,30,1009,2120,301.7822,-36.5311
0.500000,30,1009,2128,302.5424,-46.0132
0.500000,30,1009,2136,303.1250,-51.9082
0.500000,30,1009,2144,303.5900,-55.4812
0.500000,30,1009,2152,304.0159,-57.8072
0.500000,30,1009,2160,304.4417,-59.3981
0.500000,30,1009,2168,304.8958,-60.4963
0.500000,30,1009,2176,306.2917,-61.6583
0.500000,30,1009,2184,308.2928,-61.0266
0.500000,30,1009,2192,310.2938,-59.7988
0.500000,30,1009,2200,312.2949,-58.5569
0.500000,30,1009,2208,314.2959,-57.3495
0.500000,30,1009,2216,316.2970,-56.0657
0.500000,30,1009,2224,317.7311,-54.8781
0.500000,30,1009,2232,318.6001,-53.8654
0.500000,30,1009,2240,319.2234,-52.7699
0.500000,30,1009,2248,319.5712,-51.8829
0.500000,30,1009,2256,319.8146,-51.0192
0.500000,30,1009,2264,320.0432,-49.8890
0.500000,30,1009,2272,320.2718,-48.1877
0.500000,30,1009,2280,320.5004,-45.2270
0.500000,30,1009,2288,320.7289,-39.2015
0.500000,30,1009,2296,320.9575,-27.6670
0.500000,30,1009,2304,321.1242,-17.9065
0.500000,30,1009,2312,321.2921,-9.5358
0.500000,30,1009,2320,321.6314,0.8179
0.500000,30,1009,2328,322.2290,1.6501
0.500000,30,1009,2336,322.8926,-10.0306
0.500000,30,1009,2344,324.1379,-34.3610
0.500000,30,1009,2352,325.3832,-50.2002
0.500000,30,1009,2360,326.3259,-57.7466
0.500000,30,1009,2368,327.3896,-61.5291
0.500000,30,1009,2376,329.3360,-62.9117
0.500000,30,1009,2384,332.3154,-61.6786
0.500000,30,1009,2392,335.7301,-59.9595
0.500000,30,1009,2400,339.1449,-58.5930
0.500000,30,1009,2408,341.2790,-57.8871
