gnmda_ns,angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
0.250000,150,5004,224,103.5131,-64.0179
0.250000,150,5004,232,103.9106,-65.0932
0.250000,150,5004,240,104.1674,-65.6969
0.250000,150,5004,248,104.3395,-66.0658
0.250000,150,5004,256,104.7713,-66.8642
0.250000,150,5004,264,104.9386,-67.1440
0.250000,150,5004,272,105.1508,-67.4723
0.250000,150,5004,280,105.3336,-67.7339
0.250000,150,5004,288,105.3663,-67.7786
0.250000,150,5004,296,105.5991,-68.0553
0.250000,150,5004,304,106.3192,-68.7546
0.250000,150,5004,312,107.8297,-70.1297
0.250000,150,5004,320,108.1724,-70.3865
0.250000,150,5004,328,108.3544,-70.5032
0.250000,150,5004,336,108.6145,-70.6344
0.250000,150,5004,344,108.8420,-70.7174
0.250000,150,5004,352,109.3255,-70.8384
0.250000,150,5004,360,109.5017,-70.8719
0.250000,150,5004,368,109.6315,-70.8868
0.250000,150,5004,376,109.8321,-70.8903
0.250000,150,5004,384,109.9386,-70.8832
0.250000,150,5004,392,109.9812,-70.8776
0.250000,150,5004,400,110.2010,-70.8110
0.250000,150,5004,408,110.6235,-70.6589
0.250000,150,5004,416,110.6911,-70.6421
0.250000,150,5004,424,111.0234,-70.5753
0.250000,150,5004,432,111.3180,-70.5625
0.250000,150,5004,440,111.4412,-70.5689
0.250000,150,5004,448,111.7838,-70.5940
0.250000,150,5004,456,111.8588,-70.6012
0.250000,150,5004,464,112.3370,-70.6425
0.250000,150,5004,472,112.8814,-70.7593
0.250000,150,5004,480,112.9118,-70.7679
0.250000,150,5004,488,113.1298,-70.8025
0.250000,150,5004,496,113.7344,-70.8396
0.250000,150,5004,504,113.7908,-70.8460
0.250000,150,5004,512,113.9394,-70.8578
0.250000,150,5004,520,114.2311,-70.8517
0.250000,150,5004,528,115.1307,-70.9027
0.250000,150,5004,536,116.3996,-71.2482
0.250000,150,5004,544,116.4606,-71.2645
0.250000,150,5004,552,116.5087,-71.2748
0.250000,150,5004,560,116.8820,-71.2803
0.250000,150,5004,568,117.7534,-71.2650
0.250000,150,5004,576,119.3682,-71.4994
0.250000,150,5004,584,119.4653,-71.5117
0.250000,150,5004,592,119.5675,-71.5144
0.250000,150,5004,600,120.0384,-71.4350
0.250000,150,5004,608,121.1635,-71.3357
0.250000,150,5004,616,123.2099,-71.5026
0.250000,150,5004,624,128.3182,-71.4227
0.250000,150,5004,632,137.6571,-70.4179
0.250000,150,5004,640,155.9594,-68.1240
0.250000,150,5004,648,179.6742,-65.8525
0.250000,150,5004,656,192.9271,-65.1415
0.250000,150,5004,664,203.6368,-64.8015
