angle_deg,synapse_index,onset_time_ms,is_fired
30,28,110.8394,0
30,29,108.5153,0
30,30,109.1902,0
30,31,108.3045,0
30,32,100.1265,0
30,33,103.5409,0
30,34,102.9240,0
30,35,121.5985,0
30,36,119.2723,0
30,37,100.0000,1
30,38,100.0000,1
30,39,119.2159,0
30,40,100.0451,0
30,41,115.8898,0
30,42,103.8963,0
30,43,111.1495,0
30,44,103.7526,0
30,45,100.0000,1
30,46,100.0000,1
30,47,114.1903,0
30,48,107.9215,0
30,49,100.0000,1
30,50,101.5744,0
30,51,100.0000,1
30,52,100.0000,1
30,53,127.7864,0
30,54,111.0477,0
30,55,104.1544,0
30,56,126.8774,0
30,57,100.0000,1
30,58,100.0000,1
30,59,122.0985,0
30,60,112.9056,0
30,61,117.9040,0
30,62,108.2413,0
30,63,100.0000,1
30,64,117.2578,0
30,65,123.1276,0
30,66,108.2918,0
30,67,100.0000,1
30,68,123.0014,0
30,69,105.9190,0
30,70,116.6427,0
30,71,100.0000,1
30,72,132.5202,0
30,73,100.0000,1
30,74,104.6317,0
30,75,124.5330,0
30,76,112.0521,0
30,77,100.0000,1
30,78,100.0000,1
30,79,116.4794,0
30,80,100.0000,1
30,81,107.2673,0
30,82,105.7486,0
30,83,101.9823,0
30,84,122.4733,0
30,85,111.4265,0
30,86,101.9147,0
30,87,100.0000,1
30,88,104.9295,0
30,89,107.5964,0
30,90,100.0000,1
30,91,100.0000,1
30,92,100.0000,1
30,93,100.0000,1
30,94,100.0000,1
30,95,100.0000,1
30,96,102.5605,0
30,97,100.0000,1
30,98,100.0000,1
30,99,100.0000,1
60,0,106.4911,0
60,1,100.5173,0
60,2,123.9286,0
60,3,106.2064,0
60,4,100.0000,1
60,5,100.0000,1
60,6,106.3550,0
60,7,101.8128,0
60,8,100.0000,1
60,9,100.0000,1
60,10,100.0000,1
60,11,100.1567,0
60,12,100.0000,1
60,13,120.5031,0
60,14,101.9553,0
60,15,114.9849,0
60,16,100.0000,1
60,17,100.0000,1
60,18,122.0611,0
60,19,118.3637,0
60,20,117.1452,0
60,21,111.3467,0
60,22,120.8041,0
60,23,101.8045,0
60,24,105.1509,0
60,25,119.7650,0
60,26,100.0000,1
60,27,100.0000,1
60,28,108.6743,0
60,29,105.1040,0
60,30,107.9329,0
60,31,107.8488,0
60,32,105.8840,0
60,33,100.0000,1
60,34,100.0000,1
60,35,126.4446,0
60,36,111.2106,0
60,37,100.0000,1
60,38,100.0000,1
60,39,120.0779,0
60,40,100.0232,0
60,41,118.3019,0
60,42,101.7386,0
60,43,110.6864,0
60,44,102.4697,0
60,45,100.0000,1
60,46,104.0718,0
60,47,110.9583,0
60,48,115.2804,0
60,49,100.0000,1
60,50,100.0000,1
60,51,100.1910,0
60,52,100.0000,1
60,53,136.7925,0
60,54,110.7951,0
60,55,114.3006,0
60,56,115.6880,0
60,57,100.0000,1
60,58,102.7402,0
60,59,132.0507,0
60,60,110.0982,0
60,61,128.1106,0
60,62,114.4894,0
60,63,100.0000,1
60,64,121.4964,0
60,65,120.7082,0
60,66,120.7568,0
60,67,100.0000,1
60,68,122.2346,0
60,69,109.9269,0
60,70,115.0559,0
60,71,100.0000,1
60,72,122.5716,0
60,73,100.0000,1
60,74,100.5524,0
60,75,118.3875,0
60,76,108.3699,0
60,77,100.0000,1
60,78,100.0000,1
60,79,109.1131,0
60,80,100.0000,1
60,81,103.2374,0
60,82,100.0000,1
60,83,100.0000,1
60,84,118.0499,0
60,85,102.0562,0
60,86,100.0000,1
60,87,100.0000,1
60,88,111.2032,0
60,89,101.5423,0
60,90,100.0000,1
60,91,100.0000,1
60,92,103.9921,0
60,93,100.0000,1
60,94,100.0000,1
60,95,100.0000,1
60,96,112.4248,0
60,97,100.0000,1
60,98,100.0000,1
60,99,100.0000,1
90,0,100.5700,0
90,1,100.0000,1
90,2,127.5900,0
90,3,110.3650,0
90,4,100.0000,1
90,5,100.0000,1
90,6,100.5600,0
90,7,100.0000,1
90,8,100.0000,1
90,9,100.0000,1
90,10,100.0000,1
90,11,100.1550,0
90,12,100.0000,1
90,13,124.7200,0
90,14,100.0000,1
90,15,122.7100,0
